name,idevent,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
fitch,10052;3247,10052,3247,52,91,0.57,0.4,36,-39,7,13,0.54,0.77,71.40%,8.30%,93,25,7,3,1,0,39,2,5,6,0,0,https://www.hltv.org/stats/players/individual/10052/fitch?event=3247
fitch,10052;3883,10052,3883,102,139,0.73,0.55,69,-37,16,24,0.67,0.88,68.80%,13.80%,117,45,17,5,2,0,68,0,8,24,2,0,https://www.hltv.org/stats/players/individual/10052/fitch?event=3883
HooXi,10096;4866,10096,4866,134,162,0.83,0.57,91,-28,17,27,0.63,0.84,82.40%,11.70%,143,60,22,7,1,1,100,5,10,18,1,0,https://www.hltv.org/stats/players/individual/10096/HooXi?event=4866
HooXi,10096;6793,10096,6793,88,134,0.66,0.45,66,-46,16,21,0.76,0.9,81.20%,12.90%,130,46,18,2,0,0,62,0,6,17,3,1,https://www.hltv.org/stats/players/individual/10096/HooXi?event=6793
xccurate,10263;3564,10263,3564,72,73,0.99,0.73,48,-1,6,8,0.75,0.84,50.00%,8.10%,50,29,15,3,1,0,15,37,4,14,1,1,https://www.hltv.org/stats/players/individual/10263/xccurate?event=3564
acoR,10330;4866,10330,4866,107,122,0.88,0.58,69,-15,13,17,0.76,0.86,61.50%,8.90%,116,40,20,9,0,0,20,61,5,17,4,1,https://www.hltv.org/stats/players/individual/10330/acoR?event=4866
acoR,10330;6793,10330,6793,210,172,1.22,0.69,141,38,33,37,0.89,1,72.70%,14.10%,165,88,41,8,4,0,43,126,7,33,2,3,https://www.hltv.org/stats/players/individual/10330/acoR?event=6793
Twistzz,10394;3247,10394,3247,72,64,1.12,0.73,45,8,10,10,1,1.01,90.00%,20.00%,53,24,15,6,0,0,46,0,10,16,0,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3247
Twistzz,10394;3564,10394,3564,155,115,1.35,0.75,96,40,14,13,1.08,0.9,64.30%,8.30%,110,53,29,12,2,0,117,0,4,33,1,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3564
Twistzz,10394;3883,10394,3883,122,104,1.17,0.7,76,18,11,13,0.85,0.86,72.70%,8.80%,98,44,20,10,2,0,93,1,2,24,2,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3883
Twistzz,10394;4443,10394,4443,200,185,1.08,0.74,138,15,17,18,0.94,0.87,82.40%,10.20%,133,91,33,13,1,0,149,1,10,39,1,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=4443
Twistzz,10394;4866,10394,4866,154,137,1.12,0.71,101,17,17,18,0.94,0.92,88.20%,13.90%,117,61,28,11,1,0,115,3,1,33,2,1,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=4866
Twistzz,10394;6586,10394,6586,107,92,1.16,0.7,67,15,13,14,0.93,0.94,84.60%,15.30%,86,39,19,7,1,1,89,1,0,16,1,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=6586
Twistzz,10394;6793,10394,6793,223,245,0.91,0.62,158,-22,33,38,0.87,0.95,81.80%,15.30%,199,113,28,14,3,0,177,2,12,29,3,1,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=6793
prb,1040;1444,1040,1444,12,37,0.32,0.31,12,-25,3,4,0.75,0.88,0.00%,0.00%,27,12,0,0,0,0,7,0,0,4,1,0,https://www.hltv.org/stats/players/individual/1040/prb?event=1444
ISSAA,10449;3564,10449,3564,230,198,1.16,0.81,144,32,29,27,1.07,1.02,72.40%,14.30%,139,84,41,12,7,0,184,3,8,34,1,0,https://www.hltv.org/stats/players/individual/10449/ISSAA?event=3564
ISSAA,10449;3883,10449,3883,78,82,0.95,0.64,54,-4,13,11,1.18,1.05,76.90%,22.20%,67,33,18,3,0,0,59,1,0,12,6,0,https://www.hltv.org/stats/players/individual/10449/ISSAA?event=3883
Maikelele,1045;1270,1045,1270,107,101,1.06,0.69,73,6,12,12,1,0.92,66.70%,10.30%,82,46,21,5,1,0,87,1,3,10,1,5,https://www.hltv.org/stats/players/individual/1045/Maikelele?event=1270
Maikelele,1045;1553,1045,1553,202,172,1.17,0.69,136,30,34,20,1.7,1.14,82.40%,16.90%,155,85,40,9,2,0,41,113,6,37,1,4,https://www.hltv.org/stats/players/individual/1045/Maikelele?event=1553
Maikelele,1045;1617,1045,1617,181,185,0.98,0.63,126,-4,20,21,0.95,0.89,60.00%,8.10%,161,83,34,7,1,1,118,9,15,32,7,0,https://www.hltv.org/stats/players/individual/1045/Maikelele?event=1617
Maikelele,1045;1666,1045,1666,84,89,0.94,0.67,61,-5,11,8,1.38,1,63.60%,13.50%,65,44,11,6,0,0,32,28,0,22,0,2,https://www.hltv.org/stats/players/individual/1045/Maikelele?event=1666
Maikelele,1045;2027,1045,2027,47,65,0.72,0.5,36,-18,4,9,0.44,0.72,75.00%,7.00%,58,25,11,0,0,0,34,1,3,8,0,1,https://www.hltv.org/stats/players/individual/1045/Maikelele?event=2027
Liazz,10588;3883,10588,3883,126,169,0.75,0.48,93,-43,21,32,0.66,0.86,95.20%,16.30%,171,67,21,3,2,0,89,0,7,27,2,1,https://www.hltv.org/stats/players/individual/10588/Liazz?event=3883
Liazz,10588;4443,10588,4443,261,229,1.14,0.67,175,32,23,16,1.44,0.89,69.60%,8.00%,215,107,54,11,2,1,196,7,16,38,4,0,https://www.hltv.org/stats/players/individual/10588/Liazz?event=4443
refrezh,10610;4866,10610,4866,209,212,0.99,0.64,149,-3,35,31,1.13,1.05,80.00%,16.10%,176,100,38,11,0,0,150,1,19,35,4,2,https://www.hltv.org/stats/players/individual/10610/refrezh?event=4866
refrezh,10610;6586,10610,6586,79,103,0.77,0.51,56,-24,7,11,0.64,0.77,71.40%,7.70%,98,37,15,4,0,0,62,0,3,14,0,1,https://www.hltv.org/stats/players/individual/10610/refrezh?event=6586
Ethan,10671;3883,10671,3883,97,98,0.99,0.72,68,-1,14,12,1.17,1.04,64.30%,14.50%,67,46,16,5,1,0,74,1,3,18,1,0,https://www.hltv.org/stats/players/individual/10671/Ethan?event=3883
Ethan,10671;4443,10671,4443,144,166,0.87,0.58,103,-22,23,28,0.82,0.94,73.90%,12.80%,146,70,25,8,0,0,99,2,10,32,1,1,https://www.hltv.org/stats/players/individual/10671/Ethan?event=4443
stavn,10994;4866,10994,4866,247,218,1.13,0.76,157,29,32,36,0.89,0.97,81.20%,14.90%,168,85,55,16,1,0,179,15,5,38,9,3,https://www.hltv.org/stats/players/individual/10994/stavn?event=4866
stavn,10994;6372,10994,6372,258,219,1.18,0.78,166,39,36,21,1.71,1.1,83.30%,18.20%,166,96,51,16,3,0,202,13,4,38,3,1,https://www.hltv.org/stats/players/individual/10994/stavn?event=6372
stavn,10994;6793,10994,6793,222,190,1.17,0.76,142,32,37,22,1.68,1.17,81.10%,19.40%,150,82,45,11,3,1,179,5,6,30,3,1,https://www.hltv.org/stats/players/individual/10994/stavn?event=6793
Golden,11110;3247,11110,3247,110,136,0.81,0.52,78,-26,16,26,0.62,0.84,68.80%,9.90%,132,53,18,7,0,0,78,1,17,13,2,0,https://www.hltv.org/stats/players/individual/11110/Golden?event=3247
Golden,11110;3564,11110,3564,78,91,0.86,0.6,53,-13,12,16,0.75,0.92,75.00%,15.50%,78,36,10,6,1,0,59,0,8,10,2,0,https://www.hltv.org/stats/players/individual/11110/Golden?event=3564
Golden,11110;4443,11110,4443,53,77,0.69,0.54,36,-24,6,17,0.35,0.68,66.70%,11.80%,62,22,11,3,0,0,41,2,2,8,0,0,https://www.hltv.org/stats/players/individual/11110/Golden?event=4443
CeRq,11219;3883,11219,3883,77,87,0.89,0.57,61,-10,20,14,1.43,1.23,50.00%,16.10%,74,48,10,3,0,0,24,38,2,13,0,0,https://www.hltv.org/stats/players/individual/11219/CeRq?event=3883
CeRq,11219;4443,11219,4443,184,152,1.21,0.74,129,32,34,22,1.55,1.2,70.60%,18.00%,120,91,23,14,0,1,44,118,1,21,0,1,https://www.hltv.org/stats/players/individual/11219/CeRq?event=4443
CeRq,11219;4866,11219,4866,73,83,0.88,0.62,55,-10,11,13,0.85,0.95,63.60%,17.10%,63,42,9,3,1,0,25,30,1,17,0,0,https://www.hltv.org/stats/players/individual/11219/CeRq?event=4866
smooya,11271;3564,11271,3564,115,87,1.32,0.86,74,28,20,14,1.43,1.24,45.00%,14.10%,59,47,16,8,3,0,18,70,6,21,1,0,https://www.hltv.org/stats/players/individual/11271/smooya?event=3564
ottoNd,11283;4443,11283,4443,192,159,1.21,0.74,124,33,28,21,1.33,1.07,75.00%,17.50%,135,74,35,12,3,0,48,115,3,26,0,1,https://www.hltv.org/stats/players/individual/11283/ottoNd?event=4443
dennis,1146;1270,1146,1270,115,89,1.29,0.74,72,26,15,15,1,0.99,86.70%,16.70%,83,41,22,8,1,0,51,41,0,22,1,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=1270
dennis,1146;1333,1146,1333,166,142,1.17,0.76,111,24,25,14,1.79,1.13,84.00%,19.30%,108,75,21,12,3,0,106,31,0,28,1,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=1333
dennis,1146;1617,1146,1617,206,195,1.06,0.72,137,11,30,33,0.91,1,66.70%,13.50%,150,92,24,19,1,1,145,10,5,43,2,1,https://www.hltv.org/stats/players/individual/1146/dennis?event=1617
dennis,1146;1666,1146,1666,83,93,0.89,0.66,59,-10,14,16,0.88,1.01,85.70%,23.10%,67,41,12,6,0,0,63,1,1,18,0,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=1666
dennis,1146;2027,1146,2027,119,109,1.09,0.76,81,10,11,15,0.73,0.86,72.70%,9.80%,76,49,27,4,1,0,85,4,5,23,2,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=2027
dennis,1146;2062,1146,2062,148,137,1.08,0.72,104,11,21,22,0.95,1,85.70%,15.00%,101,69,28,6,0,1,94,12,2,37,2,1,https://www.hltv.org/stats/players/individual/1146/dennis?event=2062
dennis,1146;2471,1146,2471,138,171,0.81,0.6,94,-33,22,30,0.73,0.93,63.60%,12.30%,136,62,22,8,2,0,92,10,7,29,1,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=2471
dennis,1146;2720,1146,2720,130,158,0.82,0.66,89,-28,26,29,0.9,1.08,61.50%,16.20%,108,60,20,6,3,0,97,3,2,28,0,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=2720
dennis,1146;3564,1146,3564,111,138,0.8,0.58,79,-27,16,25,0.64,0.87,75.00%,13.30%,111,52,22,5,0,0,79,9,3,19,1,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=3564
dennis,1146;3883,1146,3883,141,173,0.82,0.56,97,-32,23,25,0.92,0.96,60.90%,11.60%,153,61,29,6,1,0,115,9,2,15,1,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=3883
NickelBack,11498;4866,11498,4866,140,179,0.78,0.54,91,-39,17,24,0.71,0.84,76.50%,10.60%,167,58,20,10,3,0,105,1,8,20,6,0,https://www.hltv.org/stats/players/individual/11498/NickelBack?event=4866
SANJI,11716;4443,11716,4443,229,224,1.02,0.65,161,5,28,23,1.22,0.96,53.60%,8.50%,190,107,42,10,2,0,147,0,47,33,2,0,https://www.hltv.org/stats/players/individual/11716/SANJI?event=4443
Maden,11777;6793,11777,6793,73,94,0.78,0.58,55,-21,8,20,0.4,0.72,75.00%,11.30%,71,40,12,3,0,0,57,1,1,12,2,0,https://www.hltv.org/stats/players/individual/11777/Maden?event=6793
ropz,11816;2720,11816,2720,77,79,0.97,0.64,55,-2,8,14,0.57,0.8,100.00%,14.50%,66,38,15,0,1,1,51,0,10,17,0,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=2720
ropz,11816;3247,11816,3247,137,107,1.28,0.74,88,30,21,18,1.17,1.07,71.40%,15.20%,96,52,27,5,4,0,109,0,7,20,1,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=3247
ropz,11816;3564,11816,3564,43,52,0.83,0.58,33,-9,2,5,0.4,0.69,50.00%,3.80%,41,24,8,1,0,0,29,3,1,10,0,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=3564
ropz,11816;4443,11816,4443,136,143,0.95,0.64,87,-7,15,26,0.58,0.81,53.30%,8.40%,127,53,22,10,1,1,108,7,1,19,1,1,https://www.hltv.org/stats/players/individual/11816/ropz?event=4443
ropz,11816;4866,11816,4866,121,108,1.12,0.65,80,13,16,18,0.89,0.94,75.00%,13.30%,105,47,26,6,1,0,99,1,3,16,1,1,https://www.hltv.org/stats/players/individual/11816/ropz?event=4866
ropz,11816;6586,11816,6586,118,101,1.17,0.77,80,17,26,18,1.44,1.32,65.40%,23.60%,73,47,28,5,0,0,96,1,5,15,1,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=6586
ropz,11816;6793,11816,6793,269,211,1.27,0.75,172,58,35,26,1.35,1.04,68.60%,13.60%,185,100,50,19,3,0,213,10,11,35,0,1,https://www.hltv.org/stats/players/individual/11816/ropz?event=6793
Boombl4,11840;3247,11840,3247,89,105,0.85,0.61,63,-16,14,20,0.7,0.92,50.00%,10.60%,84,44,14,3,2,0,50,0,16,23,0,0,https://www.hltv.org/stats/players/individual/11840/Boombl4?event=3247
Boombl4,11840;3564,11840,3564,50,63,0.79,0.62,35,-13,8,16,0.5,0.83,50.00%,13.30%,46,23,9,3,0,0,31,0,3,15,1,0,https://www.hltv.org/stats/players/individual/11840/Boombl4?event=3564
Boombl4,11840;4443,11840,4443,181,190,0.95,0.64,125,-9,36,32,1.12,1.12,72.20%,16.90%,156,81,34,8,2,0,130,9,10,23,1,8,https://www.hltv.org/stats/players/individual/11840/Boombl4?event=4443
Boombl4,11840;4866,11840,4866,161,153,1.05,0.61,112,8,18,25,0.72,0.85,77.80%,8.40%,152,74,29,7,2,0,111,0,22,27,1,1,https://www.hltv.org/stats/players/individual/11840/Boombl4?event=4866
Boombl4,11840;6372,11840,6372,181,210,0.86,0.56,135,-29,33,40,0.82,0.97,63.60%,11.60%,189,95,34,6,0,0,134,1,19,22,2,4,https://www.hltv.org/stats/players/individual/11840/Boombl4?event=6372
ZywOo,11893;3883,11893,3883,185,169,1.09,0.74,129,16,42,33,1.27,1.29,57.10%,20.50%,121,85,33,10,1,0,47,84,15,35,4,0,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=3883
ZywOo,11893;4443,11893,4443,172,137,1.26,0.77,112,35,35,17,2.06,1.33,68.60%,20.70%,110,70,28,11,2,1,60,71,10,28,3,0,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=4443
ZywOo,11893;4866,11893,4866,297,219,1.36,0.83,190,78,61,25,2.44,1.4,73.80%,24.20%,167,109,60,17,3,1,105,129,3,53,7,3,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=4866
ZywOo,11893;6372,11893,6372,215,173,1.24,0.78,135,42,35,23,1.52,1.16,74.30%,19.50%,142,74,45,13,3,0,73,95,5,38,4,0,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6372
ZywOo,11893;6586,11893,6586,119,103,1.16,0.72,83,16,15,9,1.67,1.03,60.00%,11.10%,83,54,23,5,1,0,26,66,3,21,3,2,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6586
ZywOo,11893;6793,11893,6793,246,154,1.6,0.89,150,92,44,23,1.91,1.32,72.70%,20.00%,127,85,42,15,8,0,122,81,5,38,0,0,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6793
sergej,11916;3883,11916,3883,277,301,0.92,0.64,203,-24,48,45,1.07,1.05,66.70%,15.00%,232,144,46,11,2,0,209,11,6,48,3,1,https://www.hltv.org/stats/players/individual/11916/sergej?event=3883
sergej,11916;4443,11916,4443,104,89,1.17,0.73,69,15,18,10,1.8,1.18,77.80%,17.30%,74,42,19,8,0,0,76,5,8,14,2,0,https://www.hltv.org/stats/players/individual/11916/sergej?event=4443
buster,11942;3883,11942,3883,119,122,0.98,0.64,85,-3,14,17,0.82,0.89,85.70%,15.00%,101,56,24,5,0,0,70,17,0,31,1,0,https://www.hltv.org/stats/players/individual/11942/buster?event=3883
buster,11942;4443,11942,4443,253,227,1.11,0.72,166,26,34,39,0.87,0.97,70.60%,13.60%,185,100,50,11,5,0,177,29,10,32,4,1,https://www.hltv.org/stats/players/individual/11942/buster?event=4443
buster,11942;4866,11942,4866,197,208,0.95,0.59,136,-11,22,27,0.81,0.86,50.00%,6.70%,197,85,41,10,0,0,154,9,1,31,2,2,https://www.hltv.org/stats/players/individual/11942/buster?event=4866
buster,11942;6372,11942,6372,92,90,1.02,0.59,70,2,11,10,1.1,0.91,90.90%,13.70%,85,53,13,3,1,0,79,0,0,12,1,1,https://www.hltv.org/stats/players/individual/11942/buster?event=6372
FASHR,11954;6793,11954,6793,144,178,0.81,0.57,107,-34,25,32,0.78,0.95,76.00%,15.80%,146,78,25,2,0,2,94,0,17,32,2,1,https://www.hltv.org/stats/players/individual/11954/FASHR?event=6793
svyat,12016;4443,12016,4443,56,78,0.72,0.57,44,-22,8,9,0.89,0.92,50.00%,11.80%,54,35,6,3,0,0,41,0,10,7,0,0,https://www.hltv.org/stats/players/individual/12016/svyat?event=4443
TeSeS,12018;4866,12018,4866,208,214,0.97,0.64,145,-6,39,35,1.11,1.09,64.10%,14.40%,180,96,37,10,2,0,164,5,11,27,2,1,https://www.hltv.org/stats/players/individual/12018/TeSeS?event=4866
TeSeS,12018;6793,12018,6793,175,182,0.96,0.6,129,-7,27,34,0.79,0.93,59.30%,10.30%,163,93,29,4,3,0,142,2,13,14,4,0,https://www.hltv.org/stats/players/individual/12018/TeSeS?event=6793
Krad,12027;4443,12027,4443,47,70,0.67,0.48,29,-23,6,15,0.4,0.72,66.70%,11.80%,69,14,12,3,0,0,33,3,2,6,3,0,https://www.hltv.org/stats/players/individual/12027/Krad?event=4443
Krad,12027;4866,12027,4866,163,186,0.88,0.63,112,-23,26,26,1,1,88.50%,18.70%,146,75,25,10,2,0,108,6,25,19,3,3,https://www.hltv.org/stats/players/individual/12027/Krad?event=4866
EspiranTo,12030;4443,12030,4443,175,187,0.94,0.68,112,-12,29,33,0.88,1.01,62.10%,15.00%,147,68,28,13,3,0,125,9,3,37,1,0,https://www.hltv.org/stats/players/individual/12030/EspiranTo?event=4443
KrizzeN,12161;3883,12161,3883,101,128,0.79,0.54,70,-27,14,17,0.82,0.89,50.00%,8.80%,116,45,19,6,0,0,69,5,9,18,0,0,https://www.hltv.org/stats/players/individual/12161/KrizzeN?event=3883
shox,1225;1270,1225,1270,154,135,1.14,0.69,105,19,19,19,1,0.95,84.20%,13.70%,117,71,23,8,2,1,128,4,0,20,2,0,https://www.hltv.org/stats/players/individual/1225/shox?event=1270
shox,1225;1333,1225,1333,65,48,1.35,0.88,42,17,11,6,1.83,1.27,81.80%,24.30%,32,28,7,6,1,0,45,6,5,8,1,0,https://www.hltv.org/stats/players/individual/1225/shox?event=1333
shox,1225;1444,1225,1444,69,54,1.28,0.78,43,15,11,7,1.57,1.16,54.50%,12.20%,45,26,10,5,2,0,50,6,0,12,0,1,https://www.hltv.org/stats/players/individual/1225/shox?event=1444
shox,1225;1553,1225,1553,160,142,1.13,0.68,110,18,35,19,1.84,1.28,74.30%,20.50%,124,70,31,9,0,0,82,33,0,45,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=1553
shox,1225;1611,1225,1611,136,116,1.17,0.75,85,20,23,23,1,1.09,82.60%,19.60%,97,51,22,9,3,0,76,22,3,33,2,0,https://www.hltv.org/stats/players/individual/1225/shox?event=1611
shox,1225;1617,1225,1617,75,69,1.09,0.76,43,6,12,10,1.2,1.1,75.00%,23.70%,56,19,17,6,1,0,38,12,5,20,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=1617
shox,1225;1666,1225,1666,44,43,1.02,0.72,26,1,3,6,0.5,0.75,100.00%,11.50%,35,11,12,3,0,0,29,0,6,9,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=1666
shox,1225;2027,1225,2027,78,72,1.08,0.72,51,6,7,6,1.17,0.9,71.40%,10.20%,58,32,12,6,1,0,48,2,12,16,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=2027
shox,1225;2062,1225,2062,35,42,0.83,0.62,27,-7,5,6,0.83,0.93,60.00%,12.50%,29,21,4,2,0,0,11,14,4,6,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=2062
shox,1225;2471,1225,2471,78,67,1.16,0.76,52,11,16,9,1.78,1.3,62.50%,22.70%,50,34,12,4,2,0,24,24,14,16,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=2471
shox,1225;2720,1225,2720,87,96,0.91,0.64,63,-9,15,9,1.67,1.11,80.00%,21.10%,73,45,13,4,1,0,48,9,11,19,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=2720
shox,1225;3247,1225,3247,93,79,1.18,0.81,65,14,21,9,2.33,1.45,76.20%,25.40%,50,45,13,6,1,0,64,3,9,17,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=3247
shox,1225;3564,1225,3564,154,133,1.16,0.79,100,21,18,17,1.06,0.98,66.70%,14.50%,95,60,26,14,0,0,110,4,9,28,2,1,https://www.hltv.org/stats/players/individual/1225/shox?event=3564
shox,1225;3883,1225,3883,83,114,0.73,0.58,60,-31,20,19,1.05,1.15,65.00%,21.00%,82,43,13,2,2,0,53,6,4,19,1,0,https://www.hltv.org/stats/players/individual/1225/shox?event=3883
shox,1225;4443,1225,4443,144,157,0.92,0.61,105,-13,22,11,2,1.06,68.20%,13.20%,130,74,24,6,1,0,96,12,6,29,1,0,https://www.hltv.org/stats/players/individual/1225/shox?event=4443
shox,1225;4866,1225,4866,221,225,0.98,0.62,154,-4,36,25,1.44,1.05,61.10%,11.80%,203,99,48,4,1,2,136,40,17,26,1,1,https://www.hltv.org/stats/players/individual/1225/shox?event=4866
shox,1225;6372,1225,6372,47,83,0.57,0.46,38,-36,10,16,0.62,0.9,50.00%,13.20%,64,31,5,2,0,0,31,1,9,6,0,0,https://www.hltv.org/stats/players/individual/1225/shox?event=6372
arT,12521;4866,12521,4866,121,149,0.81,0.57,82,-28,20,37,0.54,0.85,70.00%,12.80%,130,50,25,7,0,0,59,32,9,21,0,0,https://www.hltv.org/stats/players/individual/12521/arT?event=4866
arT,12521;6793,12521,6793,57,73,0.78,0.61,37,-16,11,17,0.65,0.95,63.60%,23.30%,57,20,14,3,0,0,38,7,0,11,1,0,https://www.hltv.org/stats/players/individual/12521/arT?event=6793
yuurih,12553;4866,12553,4866,151,135,1.12,0.71,105,16,21,12,1.75,1.07,61.90%,11.90%,107,67,31,6,1,0,108,8,8,25,2,0,https://www.hltv.org/stats/players/individual/12553/yuurih?event=4866
yuurih,12553;6586,12553,6586,184,150,1.23,0.71,118,34,20,12,1.67,0.98,55.00%,7.40%,141,71,35,7,3,2,150,0,3,30,1,1,https://www.hltv.org/stats/players/individual/12553/yuurih?event=6586
yuurih,12553;6793,12553,6793,46,68,0.68,0.49,36,-22,10,11,0.91,1,50.00%,16.70%,58,28,6,2,0,0,34,0,1,10,1,0,https://www.hltv.org/stats/players/individual/12553/yuurih?event=6793
rigoN,12708;6793,12708,6793,108,127,0.85,0.67,74,-19,18,24,0.75,0.98,55.60%,12.80%,87,49,18,6,0,1,75,4,2,26,0,4,https://www.hltv.org/stats/players/individual/12708/rigoN?event=6793
sdy,12731;6793,12731,6793,146,125,1.17,0.71,108,21,10,13,0.77,0.8,80.00%,7.80%,97,80,19,8,1,0,103,4,16,19,2,3,https://www.hltv.org/stats/players/individual/12731/sdy?event=6793
FL1T,12732;4866,12732,4866,208,225,0.92,0.62,153,-17,35,31,1.13,1.04,68.60%,14.60%,180,112,30,8,3,0,169,1,4,32,2,2,https://www.hltv.org/stats/players/individual/12732/FL1T?event=4866
FL1T,12732;6586,12732,6586,249,185,1.35,0.79,170,64,41,33,1.24,1.14,75.60%,16.90%,144,111,42,15,1,1,211,0,10,23,5,0,https://www.hltv.org/stats/players/individual/12732/FL1T?event=6586
k1to,12781;6586,12781,6586,134,144,0.93,0.65,87,-10,23,22,1.05,1.05,78.30%,19.80%,118,53,22,11,1,0,104,6,2,19,2,1,https://www.hltv.org/stats/players/individual/12781/k1to?event=6586
Troubley,128;1553,128,1553,36,34,1.06,0.77,22,2,6,11,0.55,0.91,66.70%,26.70%,25,12,8,0,2,0,22,5,0,9,0,0,https://www.hltv.org/stats/players/individual/128/Troubley?event=1553
Troubley,128;1611,128,1611,69,81,0.85,0.61,49,-12,7,9,0.78,0.84,57.10%,8.00%,65,33,13,2,1,0,54,2,0,12,1,0,https://www.hltv.org/stats/players/individual/128/Troubley?event=1611
VINI,12822;4866,12822,4866,139,135,1.03,0.66,96,4,20,17,1.18,1,65.00%,11.90%,116,63,25,6,2,0,110,2,5,20,2,1,https://www.hltv.org/stats/players/individual/12822/VINI?event=4866
VINI,12822;6372,12822,6372,167,176,0.95,0.63,124,-9,29,33,0.88,1.01,75.90%,17.60%,140,88,29,7,0,0,125,13,3,22,4,2,https://www.hltv.org/stats/players/individual/12822/VINI?event=6372
Thomas,13018;6793,13018,6793,154,193,0.8,0.58,113,-39,16,30,0.53,0.78,50.00%,5.90%,152,83,20,9,1,0,94,2,25,28,5,0,https://www.hltv.org/stats/players/individual/13018/Thomas?event=6793
speed4k,13155;4443,13155,4443,45,71,0.63,0.46,33,-26,9,8,1.12,0.99,55.60%,14.70%,65,25,5,2,1,0,3,24,6,12,0,0,https://www.hltv.org/stats/players/individual/13155/speed4k?event=4443
Zellsis,13188;3883,13188,3883,91,116,0.78,0.53,65,-25,10,26,0.38,0.71,60.00%,7.10%,107,47,12,4,2,0,54,3,10,23,1,0,https://www.hltv.org/stats/players/individual/13188/Zellsis?event=3883
Qikert,13239;3883,13239,3883,124,135,0.92,0.67,84,-11,25,17,1.47,1.19,60.00%,18.80%,102,52,25,6,1,0,92,3,11,17,1,0,https://www.hltv.org/stats/players/individual/13239/Qikert?event=3883
Qikert,13239;4443,13239,4443,244,254,0.96,0.7,155,-10,42,46,0.91,1.05,69.00%,16.50%,196,88,46,20,1,0,181,3,16,40,4,0,https://www.hltv.org/stats/players/individual/13239/Qikert?event=4443
Qikert,13239;4866,13239,4866,202,216,0.94,0.61,143,-14,31,26,1.19,1,67.70%,12.80%,190,94,39,10,0,0,162,0,4,32,4,1,https://www.hltv.org/stats/players/individual/13239/Qikert?event=4866
Qikert,13239;6586,13239,6586,149,198,0.75,0.47,119,-49,33,25,1.32,1.06,84.80%,15.30%,195,99,13,5,1,1,118,0,10,19,3,0,https://www.hltv.org/stats/players/individual/13239/Qikert?event=6586
Lack1,13240;4866,13240,4866,156,181,0.86,0.6,109,-25,30,42,0.71,0.98,56.70%,13.80%,149,73,26,9,1,0,118,4,7,22,3,3,https://www.hltv.org/stats/players/individual/13240/Lack1?event=4866
oSee,13249;6793,13249,6793,181,143,1.27,0.74,118,38,20,20,1,0.94,80.00%,12.60%,127,76,24,15,3,0,62,90,0,28,1,0,https://www.hltv.org/stats/players/individual/13249/oSee?event=6793
El1an,13281;4866,13281,4866,168,154,1.09,0.65,111,14,23,18,1.28,1,73.90%,13.80%,147,69,28,13,1,0,27,114,0,24,2,1,https://www.hltv.org/stats/players/individual/13281/El1an?event=4866
Lucky,13497;3883,13497,3883,87,90,0.97,0.61,60,-3,4,7,0.57,0.73,25.00%,1.60%,82,39,16,4,1,0,55,13,1,17,1,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3883
