name,idevent,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
RiTz,2570;1444,2570,1444,23,36,0.64,0.53,16,-13,2,4,0.5,0.74,100.00%,18.20%,27,11,3,2,0,0,16,0,0,6,1,0,https://www.hltv.org/stats/players/individual/2570/RiTz?event=1444
Hiko,2644;1270,2644,1270,145,112,1.29,0.84,93,33,12,6,2,0.96,91.70%,12.60%,80,57,23,11,2,0,117,1,0,25,2,0,https://www.hltv.org/stats/players/individual/2644/Hiko?event=1270
Hiko,2644;1333,2644,1333,89,104,0.86,0.59,65,-15,11,9,1.22,0.93,81.80%,12.50%,85,49,12,3,1,0,65,3,0,19,0,2,https://www.hltv.org/stats/players/individual/2644/Hiko?event=1333
Hiko,2644;1444,2644,1444,116,93,1.25,0.75,76,23,11,9,1.22,0.93,72.70%,9.80%,78,48,21,5,2,0,91,5,0,20,0,0,https://www.hltv.org/stats/players/individual/2644/Hiko?event=1444
Hiko,2644;1553,2644,1553,34,33,1.03,0.58,26,1,4,5,0.8,0.86,50.00%,7.70%,33,22,2,1,1,0,20,3,0,10,1,0,https://www.hltv.org/stats/players/individual/2644/Hiko?event=1553
Hiko,2644;1617,2644,1617,31,41,0.76,0.51,25,-10,2,7,0.29,0.64,100.00%,7.70%,36,20,4,1,0,0,22,0,0,9,0,0,https://www.hltv.org/stats/players/individual/2644/Hiko?event=1617
Hiko,2644;2027,2644,2027,128,117,1.09,0.68,84,11,7,5,1.4,0.81,85.70%,5.90%,104,54,19,8,3,0,103,0,7,18,1,0,https://www.hltv.org/stats/players/individual/2644/Hiko?event=2027
Hiko,2644;2062,2644,2062,162,183,0.89,0.58,116,-21,19,16,1.19,0.91,84.20%,10.80%,164,85,19,9,3,0,121,2,3,27,2,7,https://www.hltv.org/stats/players/individual/2644/Hiko?event=2062
Hiko,2644;2471,2644,2471,89,110,0.81,0.57,67,-21,7,10,0.7,0.78,71.40%,6.80%,88,48,16,3,0,0,53,0,12,20,3,1,https://www.hltv.org/stats/players/individual/2644/Hiko?event=2471
chrisJ,2730;1333,2730,1333,30,38,0.79,0.65,23,-8,5,4,1.25,1.07,40.00%,14.30%,23,17,5,1,0,0,3,16,0,10,1,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=1333
chrisJ,2730;1617,2730,1617,92,91,1.01,0.7,63,1,22,12,1.83,1.35,72.70%,26.20%,69,41,17,3,2,0,14,46,0,28,1,3,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=1617
chrisJ,2730;1666,2730,1666,36,44,0.82,0.64,26,-8,8,4,2,1.26,87.50%,29.20%,30,20,2,4,0,0,23,1,0,10,2,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=1666
chrisJ,2730;2027,2730,2027,115,108,1.06,0.71,83,7,18,15,1.2,1.07,61.10%,14.90%,79,57,21,4,1,0,29,61,0,24,1,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=2027
chrisJ,2730;2062,2730,2062,73,70,1.04,0.71,45,3,10,10,1,0.99,80.00%,18.60%,58,26,12,5,2,0,12,44,0,17,0,1,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=2062
chrisJ,2730;2471,2730,2471,56,61,0.92,0.63,40,-5,13,6,2.17,1.28,53.80%,20.60%,49,27,10,3,0,0,12,31,2,10,1,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=2471
chrisJ,2730;2720,2730,2720,73,91,0.8,0.6,59,-18,17,13,1.31,1.19,47.10%,14.50%,62,48,8,3,0,0,23,27,7,14,2,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=2720
chrisJ,2730;3247,2730,3247,98,124,0.79,0.53,70,-26,21,20,1.05,1.06,90.50%,19.20%,114,49,16,3,2,0,51,26,3,16,2,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=3247
chrisJ,2730;3564,2730,3564,48,54,0.89,0.65,30,-6,11,10,1.1,1.18,36.40%,15.40%,44,19,7,2,1,1,14,13,8,13,1,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=3564
chrisJ,2730;4443,2730,4443,148,149,0.99,0.69,99,-1,23,28,0.82,0.99,69.60%,16.80%,115,64,24,9,1,1,98,13,6,30,1,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=4443
GuardiaN,2757;1333,2757,1333,30,37,0.81,0.57,20,-7,8,4,2,1.3,75.00%,28.60%,33,14,4,1,1,0,2,21,0,7,0,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=1333
GuardiaN,2757;1444,2757,1444,117,111,1.05,0.7,79,6,19,18,1.06,1.06,78.90%,17.20%,87,51,20,7,0,1,25,78,0,13,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=1444
GuardiaN,2757;1553,2757,1553,132,114,1.16,0.74,87,18,21,18,1.17,1.09,76.20%,17.60%,91,52,28,4,3,0,38,71,0,19,3,1,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=1553
GuardiaN,2757;1611,2757,1611,109,86,1.27,0.8,69,23,24,16,1.5,1.35,83.30%,28.60%,68,40,20,7,2,0,13,78,0,18,0,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=1611
GuardiaN,2757;1617,2757,1617,246,163,1.51,0.88,162,83,56,27,2.07,1.51,77.20%,29.30%,117,101,40,19,2,0,47,152,10,36,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=1617
