name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
Stewie2K,United States,Liquid,9,271,-34,0.82,0.92,StarLadder Major Berlin 2019,4443,Jake 'Stewie2K' Yip,8797,https://www.hltv.org/player/8797/stewie2k,shox,1225,3883,83,114,0.73,0.58,60,-31,20,19,1.05,1.15,65.00%,21.00%,82,43,13,2,2,0,53,6,4,19,1,0,https://www.hltv.org/stats/players/individual/1225/shox?event=3883
NEO,Poland,FaZe,6,162,-14,0.87,0.92,StarLadder Major Berlin 2019,4443,Filip 'NEO' Kubski,165,https://www.hltv.org/player/9261/lekr0,KrizzeN,12161,3883,101,128,0.79,0.54,70,-27,14,17,0.82,0.89,50.00%,8.80%,116,45,19,6,0,0,69,5,9,18,0,0,https://www.hltv.org/stats/players/individual/12161/KrizzeN?event=3883
REZ,Sweden,Ninjas in Pyjamas,4,98,-9,0.87,0.9,StarLadder Major Berlin 2019,4443,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez,daps,8521,3883,76,98,0.78,0.56,60,-22,12,12,1,0.96,75.00%,14.50%,75,46,12,2,0,0,56,0,9,12,0,0,https://www.hltv.org/stats/players/individual/8521/daps?event=3883
nitr0,United States,Liquid,9,271,-38,0.79,0.9,StarLadder Major Berlin 2019,4443,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0,fitch,10052,3883,102,139,0.73,0.55,69,-37,16,24,0.67,0.88,68.80%,13.80%,117,45,17,5,2,0,68,0,8,24,2,0,https://www.hltv.org/stats/players/individual/10052/fitch?event=3883
AdreN,Kazakhstan,AVANGAR,13,351,-42,0.81,0.9,StarLadder Major Berlin 2019,4443,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren,HObbit,8528,3883,66,92,0.72,0.55,45,-26,10,14,0.71,0.89,50.00%,11.10%,76,26,17,2,0,0,47,0,2,16,1,0,https://www.hltv.org/stats/players/individual/8528/HObbit?event=3883
GuardiaN,Slovakia,FaZe,6,162,-13,0.87,0.88,StarLadder Major Berlin 2019,4443,Ladislav 'GuardiaN' KovÃ¡cs,2757,https://www.hltv.org/player/2757/guardian,DeadFox,8716,3883,51,89,0.57,0.42,39,-38,7,14,0.5,0.76,28.60%,4.40%,82,28,10,1,0,0,35,2,7,7,0,0,https://www.hltv.org/stats/players/individual/8716/DeadFox?event=3883
LUCAS1,Brazil,MIBR,5,119,-18,0.8,0.88,StarLadder Major Berlin 2019,4443,Lucas 'LUCAS1' Teles,8566,https://www.hltv.org/player/8566/lucas1,ANGE1,339,3883,56,101,0.55,0.46,44,-45,7,17,0.41,0.72,57.10%,8.90%,77,34,8,2,0,0,39,0,3,13,1,0,https://www.hltv.org/stats/players/individual/339/ANGE1?event=3883
TACO,Brazil,MIBR,5,119,-13,0.85,0.88,StarLadder Major Berlin 2019,4443,Epitacio 'TACO' de Melo,9217,https://www.hltv.org/player/9217/taco,electroNic,8918,3564,205,142,1.44,0.86,124,63,36,31,1.16,1.2,80.60%,20.60%,115,69,33,19,2,1,162,3,12,27,1,0,https://www.hltv.org/stats/players/individual/8918/electroNic?event=3564
karrigan,Denmark,MOUZ,7,214,-43,0.74,0.87,StarLadder Major Berlin 2019,4443,Finn 'karrigan' Andersen,429,https://www.hltv.org/player/429/karrigan,s1mple,7998,3564,194,134,1.45,0.81,130,60,34,12,2.83,1.29,85.30%,20.60%,109,78,40,12,0,0,69,77,7,40,0,1,https://www.hltv.org/stats/players/individual/7998/s1mple?event=3564
FalleN,Brazil,MIBR,5,119,-18,0.79,0.86,StarLadder Major Berlin 2019,4443,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen,device,7592,3564,196,138,1.42,0.78,127,58,34,21,1.62,1.2,85.30%,18.20%,125,76,35,14,2,0,59,96,2,35,3,1,https://www.hltv.org/stats/players/individual/7592/device?event=3564
NBK-,France,Vitality,9,222,-41,0.74,0.84,StarLadder Major Berlin 2019,4443,Nathan 'NBK-' Schmitt,7168,https://www.hltv.org/player/7168/nbk,Magisk,9032,3564,179,152,1.18,0.71,115,27,43,26,1.65,1.35,79.10%,21.40%,137,70,32,8,4,1,134,1,11,30,3,1,https://www.hltv.org/stats/players/individual/9032/Magisk?event=3564
fer,Brazil,MIBR,5,119,-23,0.75,0.81,StarLadder Major Berlin 2019,4443,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer,olofmeister,885,3564,170,142,1.2,0.79,110,28,25,17,1.47,1.11,80.00%,17.20%,106,67,28,13,2,0,109,23,12,23,3,0,https://www.hltv.org/stats/players/individual/885/olofmeister?event=3564
svyat,Russia,DreamEaters,4,98,-22,0.72,0.81,StarLadder Major Berlin 2019,4443,Svyatoslav 'svyat' Dovbakh,12016,https://www.hltv.org/player/12016/svyat,dupreeh,7398,3564,190,149,1.28,0.75,130,41,33,14,2.36,1.23,78.80%,16.40%,122,83,36,9,2,0,118,15,15,37,4,1,https://www.hltv.org/stats/players/individual/7398/dupreeh?event=3564
LETN1,Serbia,CR4ZY,9,259,-55,0.68,0.78,StarLadder Major Berlin 2019,4443,Nestor 'LETN1' TaniÄ‡,4216,https://www.hltv.org/player/4216/letn1,smooya,11271,3564,115,87,1.32,0.86,74,28,20,14,1.43,1.24,45.00%,14.10%,59,47,16,8,3,0,18,70,6,21,1,0,https://www.hltv.org/stats/players/individual/11271/smooya?event=3564
Krad,Russia,DreamEaters,4,98,-23,0.67,0.75,StarLadder Major Berlin 2019,4443,Vladislav 'Krad' Kravchenko,12027,https://www.hltv.org/player/12027/krad,NAF,8520,3564,160,132,1.21,0.78,99,28,18,16,1.12,0.97,77.80%,13.00%,107,60,22,12,5,0,103,10,13,30,4,0,https://www.hltv.org/stats/players/individual/8520/NAF?event=3564
speed4k,Russia,DreamEaters,4,98,-26,0.63,0.74,StarLadder Major Berlin 2019,4443,Anton 'speed4k' Titov,13155,https://www.hltv.org/player/13155/speed4k,NiKo,3741,3564,172,140,1.23,0.8,109,32,23,19,1.21,1.05,82.60%,16.40%,107,67,24,15,3,0,113,22,0,35,2,0,https://www.hltv.org/stats/players/individual/3741/NiKo?event=3564
GeT_RiGhT,Sweden,Ninjas in Pyjamas,4,98,-23,0.69,0.74,StarLadder Major Berlin 2019,4443,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right,Twistzz,10394,3564,155,115,1.35,0.75,96,40,14,13,1.08,0.9,64.30%,8.30%,110,53,29,12,2,0,117,0,4,33,1,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3564
kinqie,Russia,DreamEaters,4,98,-24,0.66,0.73,StarLadder Major Berlin 2019,4443,Semyon 'kinqie' Lisitsyn,3459,https://www.hltv.org/player/3459/kinqie,flamie,7594,3564,177,136,1.3,0.74,115,41,22,21,1.05,0.98,77.30%,12.10%,124,67,35,12,1,0,106,32,11,28,0,0,https://www.hltv.org/stats/players/individual/7594/flamie?event=3564
Forester,Russia,DreamEaters,4,98,-22,0.72,0.73,StarLadder Major Berlin 2019,4443,Igor 'Forester' Bezotecheskiy,13982,https://www.hltv.org/player/13982/forester,coldzera,9216,3564,202,162,1.25,0.75,137,40,28,14,2,1.1,75.00%,15.30%,132,84,42,10,1,0,119,31,7,44,1,0,https://www.hltv.org/stats/players/individual/9216/coldzera?event=3564
Golden,Sweden,Ninjas in Pyjamas,4,98,-24,0.69,0.73,StarLadder Major Berlin 2019,4443,Maikil 'Golden' Selim,11110,https://www.hltv.org/player/11110/golden,EliGE,8738,3564,161,141,1.14,0.78,100,20,21,27,0.78,0.96,66.70%,13.00%,106,54,35,7,4,0,123,1,11,25,1,0,https://www.hltv.org/stats/players/individual/8738/EliGE?event=3564
zews,Brazil,MIBR,5,119,-46,0.5,0.59,StarLadder Major Berlin 2019,4443,Wilton 'zews' Prado,6608,https://www.hltv.org/player/6608/zews,FalleN,2023,3564,189,152,1.24,0.7,129,37,34,16,2.12,1.2,64.70%,16.10%,140,81,39,7,1,1,31,110,14,33,2,0,https://www.hltv.org/stats/players/individual/2023/FalleN?event=3564
f0rest,Sweden,Ninjas in Pyjamas,4,98,-39,0.49,0.54,StarLadder Major Berlin 2019,4443,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest,woxic,8574,3564,217,175,1.24,0.77,139,42,27,29,0.93,0.97,74.10%,13.60%,144,79,44,14,2,0,61,117,5,35,0,0,https://www.hltv.org/stats/players/individual/8574/woxic?event=3564
device,Denmark,Astralis,11,265,74,1.52,1.32,IEM Katowice 2019,3883,Nicolai 'device' Reedtz,7592,https://www.hltv.org/player/7592/device,Xyp9x,4954,3564,176,147,1.2,0.7,118,29,14,18,0.78,0.83,64.30%,5.70%,134,73,34,9,2,0,125,0,16,31,4,0,https://www.hltv.org/stats/players/individual/4954/Xyp9x?event=3564
s1mple,Ukraine,Natus Vincere,11,305,76,1.44,1.29,IEM Katowice 2019,3883,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple,gla1ve,7412,3564,174,148,1.18,0.69,119,26,30,19,1.58,1.14,83.30%,15.70%,133,76,34,6,3,0,118,4,20,27,6,0,https://www.hltv.org/stats/players/individual/7412/gla1ve?event=3564
Xyp9x,Denmark,Astralis,11,265,73,1.57,1.29,IEM Katowice 2019,3883,Andreas 'Xyp9x' HÃ¸jsleth,4954,https://www.hltv.org/player/4954/xyp9x,stanislaw,8507,3564,85,75,1.13,0.71,52,10,8,7,1.14,0.9,75.00%,9.40%,67,28,18,3,3,0,52,3,15,13,2,0,https://www.hltv.org/stats/players/individual/8507/stanislaw?event=3564
Magisk,Denmark,Astralis,11,265,61,1.42,1.28,IEM Katowice 2019,3883,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk,shox,1225,3564,154,133,1.16,0.79,100,21,18,17,1.06,0.98,66.70%,14.50%,95,60,26,14,0,0,110,4,9,28,2,1,https://www.hltv.org/stats/players/individual/1225/shox?event=3564
coldzera,Brazil,MIBR,9,227,45,1.31,1.26,IEM Katowice 2019,3883,Marcelo 'coldzera' David,9216,https://www.hltv.org/player/9216/coldzera,ISSAA,10449,3564,230,198,1.16,0.81,144,32,29,27,1.07,1.02,72.40%,14.30%,139,84,41,12,7,0,184,3,8,34,1,0,https://www.hltv.org/stats/players/individual/10449/ISSAA?event=3564
dupreeh,Denmark,Astralis,11,265,43,1.27,1.24,IEM Katowice 2019,3883,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh,KRIMZ,7528,3564,137,130,1.05,0.77,92,7,20,21,0.95,1.03,65.00%,17.30%,85,54,31,7,0,0,91,6,6,34,0,0,https://www.hltv.org/stats/players/individual/7528/KRIMZ?event=3564
stanislaw,Canada,Complexity,7,204,26,1.19,1.2,IEM Katowice 2019,3883,Peter 'stanislaw' Jarguz,8507,https://www.hltv.org/player/8507/stanislaw,suNny,5479,3564,51,49,1.04,0.69,34,2,10,5,2,1.23,50.00%,19.20%,40,22,8,3,1,0,37,3,0,11,0,0,https://www.hltv.org/stats/players/individual/5479/suNny?event=3564
fer,Brazil,MIBR,9,227,30,1.21,1.2,IEM Katowice 2019,3883,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer,autimatic,8735,3564,100,93,1.08,0.76,69,7,12,11,1.09,0.98,50.00%,10.30%,62,44,21,3,0,1,78,5,7,10,1,0,https://www.hltv.org/stats/players/individual/8735/autimatic?event=3564
flamie,Russia,Natus Vincere,11,305,36,1.19,1.2,IEM Katowice 2019,3883,Egor 'flamie' Vasilyev,7594,https://www.hltv.org/player/7594/flamie,tabseN,5794,3564,96,93,1.03,0.72,60,3,14,10,1.4,1.07,85.70%,18.80%,73,31,22,7,0,0,42,22,7,22,3,0,https://www.hltv.org/stats/players/individual/5794/tabseN?event=3564
Brehze,United States,NRG,4,135,14,1.15,1.19,IEM Katowice 2019,3883,Vincent 'Brehze' Cayonte,9136,https://www.hltv.org/player/9136/brehze,GeT_RiGhT,39,3564,142,132,1.08,0.75,97,10,23,14,1.64,1.15,69.60%,17.80%,93,62,26,8,1,0,86,0,21,30,2,3,https://www.hltv.org/stats/players/individual/39/GeT_RiGhT?event=3564
flusha,Sweden,Cloud9,7,172,11,1.09,1.19,IEM Katowice 2019,3883,Robin 'flusha' RÃ¶nnquist,3055,https://www.hltv.org/player/3055/flusha,kennyS,7167,3564,147,136,1.08,0.75,104,11,24,19,1.26,1.12,54.20%,15.70%,91,72,22,9,1,0,23,87,3,30,4,0,https://www.hltv.org/stats/players/individual/7167/kennyS?event=3564
autimatic,United States,Cloud9,7,172,27,1.26,1.19,IEM Katowice 2019,3883,Timothy 'autimatic' Ta,8735,https://www.hltv.org/player/8735/autimatic,f0rest,29,3564,137,124,1.1,0.72,90,13,18,11,1.64,1.04,66.70%,13.30%,100,55,26,7,1,1,91,19,1,24,2,0,https://www.hltv.org/stats/players/individual/29/f0rest?event=3564
nex,Germany,BIG,5,133,17,1.2,1.17,IEM Katowice 2019,3883,Nemanja 'nexa' IsakoviÄ‡,9618,https://www.hltv.org/player/9618/nexa,fer,8564,3564,171,181,0.94,0.64,118,-10,32,28,1.14,1.09,78.10%,18.20%,151,75,34,8,1,0,144,2,6,18,2,0,https://www.hltv.org/stats/players/individual/8564/fer?event=3564
NiKo,Bosnia and Herzegovina,FaZe,10,267,23,1.13,1.15,IEM Katowice 2019,3883,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko,bondik,2131,3564,190,178,1.07,0.67,120,12,18,26,0.69,0.83,72.20%,8.80%,163,71,33,11,5,0,168,0,0,19,3,0,https://www.hltv.org/stats/players/individual/2131/bondik?event=3564
REZ,Sweden,Ninjas in Pyjamas,10,250,24,1.15,1.14,IEM Katowice 2019,3883,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez,tarik,8523,3564,180,182,0.99,0.67,122,-2,33,26,1.27,1.12,69.70%,16.80%,147,76,36,8,2,0,128,6,7,38,1,0,https://www.hltv.org/stats/players/individual/8523/tarik?event=3564
apEX,France,Vitality,9,250,16,1.09,1.14,IEM Katowice 2019,3883,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex,GuardiaN,2757,3564,152,140,1.09,0.7,112,12,17,20,0.85,0.91,82.40%,12.10%,104,79,27,5,1,0,19,103,11,18,1,0,https://www.hltv.org/stats/players/individual/2757/GuardiaN?event=3564
ZywOo,France,Vitality,9,250,16,1.09,1.14,IEM Katowice 2019,3883,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo,nitr0,7687,3564,129,123,1.05,0.63,92,6,24,22,1.09,1.07,58.30%,13.00%,114,63,22,6,1,0,55,43,10,20,1,0,https://www.hltv.org/stats/players/individual/7687/nitr0?event=3564
Jame,Russia,AVANGAR,7,186,21,1.2,1.13,IEM Katowice 2019,3883,Dzhami 'Jame' Ali,13776,https://www.hltv.org/player/13776/jame,BnTeT,7131,3564,70,67,1.04,0.71,48,3,6,5,1.2,0.89,66.70%,10.80%,50,31,12,5,0,0,47,2,8,13,0,0,https://www.hltv.org/stats/players/individual/7131/BnTeT?event=3564
electroNic,Russia,Natus Vincere,11,305,21,1.11,1.13,IEM Katowice 2019,3883,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic,Edward,483,3564,151,146,1.03,0.63,112,5,18,24,0.75,0.88,77.80%,9.90%,127,76,33,3,0,0,104,2,19,23,3,0,https://www.hltv.org/stats/players/individual/483/Edward?event=3564
Twistzz,Canada,Liquid,6,174,18,1.17,1.13,IEM Katowice 2019,3883,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz,nex,9618,3564,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/9618/nex?event=3564
jks,Australia,Renegades,10,264,26,1.16,1.11,IEM Katowice 2019,3883,Justin 'jks' Savage,4679,https://www.hltv.org/player/4679/jks,ShahZaM,7810,3564,83,77,1.08,0.7,58,6,15,12,1.25,1.13,73.30%,17.20%,61,41,10,6,1,0,26,34,5,18,0,0,https://www.hltv.org/stats/players/individual/7810/ShahZaM?event=3564
woxic,Turkey,HellRaisers,5,121,1,1.01,1.09,IEM Katowice 2019,3883,Ã–zgÃ¼r 'woxic' Eker,8574,https://www.hltv.org/player/8574/woxic,tonyblack,1950,3564,65,67,0.97,0.67,43,-2,9,11,0.82,0.94,77.80%,15.60%,54,28,10,3,2,0,40,0,14,11,0,0,https://www.hltv.org/stats/players/individual/1950/tonyblack?event=3564
nitr0,United States,Liquid,6,174,10,1.1,1.08,IEM Katowice 2019,3883,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0,rain,8183,3564,140,155,0.9,0.65,100,-15,25,34,0.74,0.98,88.00%,19.00%,116,71,20,7,2,0,118,2,2,18,0,0,https://www.hltv.org/stats/players/individual/8183/rain?event=3564
EliGE,United States,Liquid,6,174,0,1,1.07,IEM Katowice 2019,3883,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige,ANDROID,9043,3564,82,70,1.17,0.69,54,12,5,9,0.56,0.75,60.00%,4.70%,65,32,17,4,1,0,54,4,5,16,0,3,https://www.hltv.org/stats/players/individual/9043/ANDROID?event=3564
xseveN,Finland,ENCE,16,435,0,1,1.06,IEM Katowice 2019,3883,Sami 'xseveN' Laasanen,7248,https://www.hltv.org/player/7248/xseven,Skadoodle,7440,3564,83,80,1.04,0.63,59,3,15,6,2.5,1.16,60.00%,15.50%,72,39,16,4,0,0,18,48,5,13,0,0,https://www.hltv.org/stats/players/individual/7440/Skadoodle?event=3564
Ethan,United States,NRG,4,135,-1,0.99,1.06,IEM Katowice 2019,3883,Ethan 'Ethan' Arnold,10671,https://www.hltv.org/player/10671/ethan,yay,10186,3564,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/10186/yay?event=3564
Lekr0,Sweden,Ninjas in Pyjamas,10,250,3,1.02,1.06,IEM Katowice 2019,3883,Jonas 'Lekr0' Olofsson,9261,https://www.hltv.org/player/9261/lekr0,Kvik,8459,3564,56,63,0.89,0.69,36,-7,4,4,1,0.83,100.00%,13.30%,45,21,11,3,1,0,38,2,4,11,1,0,https://www.hltv.org/stats/players/individual/8459/Kvik?event=3564
Edward,Ukraine,Natus Vincere,11,305,20,1.11,1.06,IEM Katowice 2019,3883,Ioann 'Edward' Sukhariev,483,https://www.hltv.org/player/483/edward,dephh,7873,3564,74,90,0.82,0.62,48,-16,13,20,0.65,0.93,61.50%,12.50%,71,26,19,2,1,0,44,8,14,8,0,0,https://www.hltv.org/stats/players/individual/7873/dephh?event=3564
gla1ve,Denmark,Astralis,11,265,9,1.06,1.05,IEM Katowice 2019,3883,Lukas 'gla1ve' Rossander,7412,https://www.hltv.org/player/7412/gla1ve,jR,18714,3564,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18714/jR?event=3564
jkaem,Norway,Renegades,10,264,-2,0.99,1.05,IEM Katowice 2019,3883,Joakim 'jkaem' Myrbostad,8248,https://www.hltv.org/player/8248/jkaem,STYKO,6904,3564,91,96,0.95,0.69,68,-5,17,12,1.42,1.16,76.50%,22.40%,63,47,19,2,0,0,60,2,6,23,0,0,https://www.hltv.org/stats/players/individual/6904/STYKO?event=3564
rain,Norway,FaZe,10,267,-8,0.96,1.05,IEM Katowice 2019,3883,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain,DD,545,3564,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/545/DD?event=3564
f0rest,Sweden,Ninjas in Pyjamas,10,250,13,1.08,1.05,IEM Katowice 2019,3883,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest,Stewie2K,8797,3564,163,180,0.91,0.61,114,-17,25,33,0.76,0.93,80.00%,14.60%,155,74,31,9,0,0,116,9,17,20,1,0,https://www.hltv.org/stats/players/individual/8797/Stewie2K?event=3564
kioShiMa,France,Cloud9,7,172,5,1.05,1.04,IEM Katowice 2019,3883,Fabien 'kioShiMa' Fiey,4959,https://www.hltv.org/player/4959/kioshima,xccurate,10263,3564,72,73,0.99,0.73,48,-1,6,8,0.75,0.84,50.00%,8.10%,50,29,15,3,1,0,15,37,4,14,1,1,https://www.hltv.org/stats/players/individual/10263/xccurate?event=3564
Stewie2K,United States,Liquid,6,174,-6,0.95,1.04,IEM Katowice 2019,3883,Jake 'Stewie2K' Yip,8797,https://www.hltv.org/player/8797/stewie2k,draken,9255,3564,122,129,0.95,0.69,88,-7,16,12,1.33,1.01,62.50%,13.30%,89,59,25,3,1,0,23,50,8,37,3,1,https://www.hltv.org/stats/players/individual/9255/draken?event=3564
GuardiaN,Slovakia,FaZe,10,267,19,1.12,1.03,IEM Katowice 2019,3883,Ladislav 'GuardiaN' KovÃ¡cs,2757,https://www.hltv.org/player/2757/guardian,JW,3849,3564,114,129,0.88,0.64,80,-15,17,21,0.81,0.95,76.50%,17.30%,97,51,24,5,0,0,67,11,12,22,1,1,https://www.hltv.org/stats/players/individual/3849/JW?event=3564
Qikert,Kazakhstan,AVANGAR,7,186,-11,0.92,1.03,IEM Katowice 2019,3883,Alexey 'Qikert' Golubev,13239,https://www.hltv.org/player/13239/qikert,Zeus,484,3564,130,140,0.93,0.54,101,-10,18,22,0.82,0.89,94.40%,12.10%,138,75,23,3,0,0,89,2,16,21,2,0,https://www.hltv.org/stats/players/individual/484/Zeus?event=3564
AdreN,Kazakhstan,FaZe,10,267,12,1.08,1.02,IEM Katowice 2019,3883,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren,Golden,11110,3564,78,91,0.86,0.6,53,-13,12,16,0.75,0.92,75.00%,15.50%,78,36,10,6,1,0,59,0,8,10,2,0,https://www.hltv.org/stats/players/individual/11110/Golden?event=3564
allu,Finland,ENCE,16,435,9,1.03,1.01,IEM Katowice 2019,3883,Aleksi 'allu' Jalli,695,https://www.hltv.org/player/695/allu,jmqa,8368,3564,50,62,0.81,0.62,39,-12,12,6,2,1.28,58.30%,23.30%,42,29,9,1,0,0,27,2,1,18,2,0,https://www.hltv.org/stats/players/individual/8368/jmqa?event=3564
tabseN,Germany,BIG,5,133,-10,0.9,1.01,IEM Katowice 2019,3883,Johannes 'tabseN' Wodarz,5794,https://www.hltv.org/player/5794/tabsen,RUSH,7805,3564,75,103,0.73,0.57,52,-28,17,13,1.31,1.15,64.70%,19.00%,79,33,16,2,1,0,55,0,2,18,0,0,https://www.hltv.org/stats/players/individual/7805/RUSH?event=3564
Aerial,Finland,ENCE,16,435,-16,0.95,1.01,IEM Katowice 2019,3883,Jani 'Aerial' Jussila,4076,https://www.hltv.org/player/4076/aerial,chrisJ,2730,3564,48,54,0.89,0.65,30,-6,11,10,1.1,1.18,36.40%,15.40%,44,19,7,2,1,1,14,13,8,13,1,0,https://www.hltv.org/stats/players/individual/2730/chrisJ?event=3564
sergej,Finland,ENCE,16,435,-24,0.92,1.01,IEM Katowice 2019,3883,Jere 'sergej' Salo,11916,https://www.hltv.org/player/11916/sergej,karrigan,429,3564,134,149,0.9,0.62,95,-15,15,21,0.71,0.85,66.70%,8.60%,121,65,22,7,1,0,85,1,27,20,1,0,https://www.hltv.org/stats/players/individual/429/karrigan?event=3564
ShahZaM,United States,Complexity,7,204,-5,0.96,1.01,IEM Katowice 2019,3883,Shahzeb 'ShahZaM' Khan,7810,https://www.hltv.org/player/7810/shahzam,tiziaN,5796,3564,75,87,0.86,0.56,54,-12,11,16,0.69,0.88,54.50%,9.40%,79,38,13,1,2,0,51,0,5,18,1,1,https://www.hltv.org/stats/players/individual/5796/tiziaN?event=3564
FalleN,Brazil,MIBR,9,227,0,1,1.01,IEM Katowice 2019,3883,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen,bodyy,8374,3564,120,135,0.89,0.62,83,-15,16,15,1.07,0.95,62.50%,12.00%,112,54,22,6,1,0,93,3,5,19,0,0,https://www.hltv.org/stats/players/individual/8374/bodyy?event=3564
NAF,Canada,Liquid,6,174,-4,0.96,1,IEM Katowice 2019,3883,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf,gob b,136,3564,79,89,0.89,0.59,54,-10,15,15,1,1.04,73.30%,17.20%,79,35,14,4,1,0,41,7,16,14,1,0,https://www.hltv.org/stats/players/individual/136/gob b?event=3564
ISSAA,Jordan,HellRaisers,5,121,-4,0.95,1,IEM Katowice 2019,3883,Issa 'ISSAA' Murad,10449,https://www.hltv.org/player/10449/issaa,Boombl4,11840,3564,50,63,0.79,0.62,35,-13,8,16,0.5,0.83,50.00%,13.30%,46,23,9,3,0,0,31,0,3,15,1,0,https://www.hltv.org/stats/players/individual/11840/Boombl4?event=3564
XANTARES,Turkey,BIG,5,133,-10,0.9,1,IEM Katowice 2019,3883,Ismailcan 'XANTARES' DÃ¶rtkardeÅŸ,7938,https://www.hltv.org/player/7938/xantares,DeadFox,8716,3564,154,185,0.83,0.54,118,-31,19,17,1.12,0.9,78.90%,10.20%,165,83,34,1,0,0,96,15,20,22,1,1,https://www.hltv.org/stats/players/individual/8716/DeadFox?event=3564
RUSH,United States,Cloud9,7,172,-7,0.94,0.98,IEM Katowice 2019,3883,William 'RUSH' Wierzba,7805,https://www.hltv.org/player/7805/rush,REZ,9278,3564,108,137,0.79,0.57,80,-29,22,27,0.81,1.01,68.20%,16.70%,110,57,18,5,0,0,75,7,5,20,2,0,https://www.hltv.org/stats/players/individual/9278/REZ?event=3564
Aleksib,Finland,ENCE,16,435,-20,0.93,0.98,IEM Katowice 2019,3883,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib,chopper,7716,3564,57,69,0.83,0.59,34,-12,8,17,0.47,0.79,87.50%,15.60%,63,17,12,4,1,0,46,0,1,9,1,0,https://www.hltv.org/stats/players/individual/7716/chopper?event=3564
kennyS,France,G2,5,142,-8,0.92,0.97,IEM Katowice 2019,3883,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys,dennis,1146,3564,111,138,0.8,0.58,79,-27,16,25,0.64,0.87,75.00%,13.30%,111,52,22,5,0,0,79,9,3,19,1,0,https://www.hltv.org/stats/players/individual/1146/dennis?event=3564
felps,Brazil,MIBR,9,227,-18,0.88,0.96,IEM Katowice 2019,3883,JoÃ£o 'felps' Vasconcellos,9219,https://www.hltv.org/player/9219/felps,oskar,798,3564,43,52,0.83,0.58,34,-9,11,6,1.83,1.27,54.50%,23.10%,40,27,5,2,0,0,11,24,0,8,0,0,https://www.hltv.org/stats/players/individual/798/oskar?event=3564
FugLy,United States,NRG,4,135,-15,0.84,0.96,IEM Katowice 2019,3883,Jacob 'FugLy' Medina,8522,https://www.hltv.org/player/8522/fugly,ANGE1,339,3564,154,213,0.72,0.54,105,-59,34,57,0.6,0.93,70.60%,16.30%,178,71,24,6,3,1,110,3,10,28,3,0,https://www.hltv.org/stats/players/individual/339/ANGE1?event=3564
