name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
gxx-,Kosovo,Bad News Eagles,6,161,12,1.12,1.13,BLAST.tv Paris Major 2023,6793,Genc 'gxx-' Kolgeci,19725,https://www.hltv.org/player/19725/gxx,gxx-,19725,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19725/gxx-?event=6973
mezii,United Kingdom,fnatic,9,253,24,1.15,1.13,BLAST.tv Paris Major 2023,6793,William 'mezii' Merriman,18462,https://www.hltv.org/player/18462/mezii,mezii,18462,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18462/mezii?event=6973
juanflatroo,Kosovo,Bad News Eagles,6,161,9,1.08,1.12,BLAST.tv Paris Major 2023,6793,Flatron 'juanflatroo' Halimi,17147,https://www.hltv.org/player/17147/juanflatroo,juanflatroo,17147,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/17147/juanflatroo?event=6973
oSee,United States,Liquid,9,245,38,1.27,1.11,BLAST.tv Paris Major 2023,6793,Josh 'oSee' Ohm,13249,https://www.hltv.org/player/13249/osee,oSee,13249,6973,183,167,1.1,0.67,129,16,25,21,1.19,1,76.00%,14.60%,145,87,32,8,2,0,55,104,0,20,4,0,https://www.hltv.org/stats/players/individual/13249/oSee?event=6973
dupreeh,Denmark,Vitality,10,277,11,1.07,1.11,BLAST.tv Paris Major 2023,6793,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh,dupreeh,7398,6972,200,233,0.86,0.61,138,-33,31,44,0.7,0.91,80.60%,15.20%,192,95,26,15,2,0,153,1,15,31,0,1,https://www.hltv.org/stats/players/individual/7398/dupreeh?event=6972
CYPHER,United Kingdom,Into the Breach,10,265,-8,0.96,1.11,BLAST.tv Paris Major 2023,6793,Cai 'CYPHER' Watson,18571,https://www.hltv.org/player/18571/cypher,CYPHER,18571,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18571/CYPHER?event=6973
m0NESY,Russia,G2,7,196,6,1.05,1.11,BLAST.tv Paris Major 2023,6793,Ilya 'm0NESY' Osipov,19230,https://www.hltv.org/player/19230/m0nesy,m0NESY,19230,6973,230,221,1.04,0.69,159,9,44,38,1.16,1.14,81.80%,21.40%,172,108,35,13,2,1,81,98,5,45,1,0,https://www.hltv.org/stats/players/individual/19230/m0NESY?event=6973
acoR,Denmark,GamerLegion,12,306,38,1.22,1.11,BLAST.tv Paris Major 2023,6793,Frederik 'acoR' Gyldstrand,10330,https://www.hltv.org/player/10330/acor,acoR,10330,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/10330/acoR?event=6973
jkaem,Norway,Apeks,11,303,3,1.01,1.1,BLAST.tv Paris Major 2023,6793,Joakim 'jkaem' Myrbostad,8248,https://www.hltv.org/player/8248/jkaem,jkaem,8248,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/8248/jkaem?event=6973
CRUC1AL,Netherlands,Into the Breach,10,265,30,1.2,1.09,BLAST.tv Paris Major 2023,6793,Joey 'CRUC1AL' Steusel,7996,https://www.hltv.org/player/7996/cruc1al,CRUC1AL,7996,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7996/CRUC1AL?event=6973
sdy,Ukraine,Monte,8,205,21,1.17,1.08,BLAST.tv Paris Major 2023,6793,Viktor 'sdy' Orudzhev,12731,https://www.hltv.org/player/12731/sdy,sdy,12731,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12731/sdy?event=6973
Brollan,Sweden,Ninjas in Pyjamas,7,196,0,1,1.08,BLAST.tv Paris Major 2023,6793,Ludvig 'Brollan' Brolin,13666,https://www.hltv.org/player/13666/brollan,Brollan,13666,6973,195,202,0.97,0.64,136,-7,44,48,0.92,1.13,75.00%,21.20%,169,93,30,10,3,0,155,0,7,31,2,1,https://www.hltv.org/stats/players/individual/13666/Brollan?event=6973
Perfecto,Russia,Natus Vincere,8,212,13,1.1,1.07,BLAST.tv Paris Major 2023,6793,Ilya 'Perfecto' Zalutskiy,16947,https://www.hltv.org/player/16947/perfecto,Perfecto,16947,6973,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16947/Perfecto?event=6973
s1mple,Ukraine,Natus Vincere,8,212,2,1.01,1.07,BLAST.tv Paris Major 2023,6793,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple,s1mple,7998,6973,250,194,1.29,0.76,164,56,34,18,1.89,1.09,58.80%,12.30%,163,99,49,12,3,1,115,85,1,45,3,1,https://www.hltv.org/stats/players/individual/7998/s1mple?event=6973
huNter-,Bosnia and Herzegovina,G2,7,196,12,1.09,1.07,BLAST.tv Paris Major 2023,6793,Nemanja 'huNter-' KovaÄ,3972,https://www.hltv.org/player/3972/hunter,huNter-,3972,6973,219,219,1,0.66,151,0,31,22,1.41,1.02,71.00%,13.10%,180,96,44,9,2,0,170,0,10,37,2,1,https://www.hltv.org/stats/players/individual/3972/huNter-?event=6973
