name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
s1mple,7998,6973,250,194,1.29,0.76,164,56,34,18,1.89,1.09,58.8%,12.3%,163,99,49,12,3,1,115,85,1,45,3,1,https://www.hltv.org/stats/players/individual/7998/s1mple?event=6973
huNter-,3972,6973,219,219,1.0,0.66,151,0,31,22,1.41,1.02,71.0%,13.1%,180,96,44,9,2,0,170,0,10,37,2,1,https://www.hltv.org/stats/players/individual/3972/huNter-?event=6973
nawwk,13670,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13670/nawwk?event=6973
Woro2k,16885,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16885/Woro2k?event=6973
jabbi,17956,6973,119,109,1.09,0.65,80,10,22,22,1.0,1.07,81.8%,16.4%,103,51,21,6,2,0,92,2,8,16,0,1,https://www.hltv.org/stats/players/individual/17956/jabbi?event=6973
apEX,7322,6973,111,109,1.02,0.58,80,2,14,18,0.78,0.88,100.0%,11.4%,110,54,21,5,0,0,86,0,4,17,4,0,https://www.hltv.org/stats/players/individual/7322/apEX?event=6973
nicoodoz,13602,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13602/nicoodoz?event=6973
DemQQ,19733,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19733/DemQQ?event=6973
siuhy,16820,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16820/siuhy?event=6973
electroNic,8918,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/8918/electroNic?event=6973
volt,20358,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/20358/volt?event=6973
rallen,5388,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/5388/rallen?event=6973
Aleksib,9816,6973,193,210,0.92,0.59,135,-17,24,36,0.67,0.85,66.7%,9.9%,192,93,26,16,0,0,136,0,19,35,3,1,https://www.hltv.org/stats/players/individual/9816/Aleksib?event=6973
REZ,9278,6973,180,188,0.96,0.59,131,-8,34,25,1.36,1.09,70.6%,15.4%,174,91,32,7,1,0,143,0,4,32,1,2,https://www.hltv.org/stats/players/individual/9278/REZ?event=6973
isak,17937,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/17937/isak?event=6973
nitr0,7687,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7687/nitr0?event=6973
kRaSnaL,20282,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/20282/kRaSnaL?event=6973
Twistzz,10394,6973,191,135,1.41,0.81,123,56,30,14,2.14,1.2,73.3%,16.4%,113,72,36,13,2,0,156,2,5,25,3,1,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=6973
kyxsan,19677,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19677/kyxsan?event=6973
b1t,18987,6973,213,211,1.01,0.65,149,2,29,28,1.04,0.97,58.6%,10.5%,178,94,47,7,1,0,152,3,9,49,0,1,https://www.hltv.org/stats/players/individual/18987/b1t?event=6973
sjuush,14148,6973,115,113,1.02,0.63,79,2,15,12,1.25,0.97,93.3%,12.7%,104,54,17,5,3,0,90,0,8,15,2,0,https://www.hltv.org/stats/players/individual/14148/sjuush?event=6973
TeSeS,12018,6973,127,120,1.06,0.69,90,7,17,21,0.81,0.94,88.2%,13.6%,93,60,24,5,1,0,93,0,18,16,0,0,https://www.hltv.org/stats/players/individual/12018/TeSeS?event=6973
rain,8183,6973,140,151,0.93,0.59,97,-11,33,35,0.94,1.12,81.8%,20.1%,139,65,22,9,1,0,104,1,4,27,5,0,https://www.hltv.org/stats/players/individual/8183/rain?event=6973
Goofy,15428,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15428/Goofy?event=6973
KSCERATO,15631,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15631/KSCERATO?event=6973
rigoN,12708,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12708/rigoN?event=6973
roeJ,14419,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/14419/roeJ?event=6973
sinnopsyy,18120,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18120/sinnopsyy?event=6973
STYKO,6904,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/6904/STYKO?event=6973
KRIMZ,7528,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7528/KRIMZ?event=6973
jL,19206,6973,209,213,0.98,0.64,144,-4,38,28,1.36,1.1,76.3%,17.9%,183,94,38,9,3,0,161,3,12,30,3,0,https://www.hltv.org/stats/players/individual/19206/jL?event=6973
EliGE,8738,6973,188,176,1.07,0.71,129,12,36,38,0.95,1.11,52.8%,16.7%,135,85,35,5,2,2,147,4,1,35,2,0,https://www.hltv.org/stats/players/individual/8738/EliGE?event=6973
FASHR,11954,6973,99,136,0.73,0.54,65,-37,23,26,0.88,1.06,73.9%,22.7%,117,44,12,6,2,1,85,0,6,9,0,0,https://www.hltv.org/stats/players/individual/11954/FASHR?event=6973
dycha,16080,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16080/dycha?event=6973
SENER1,15778,6973,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15778/SENER1?event=6973
