name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link
NAF,Canada,Liquid,9,271,4,1.02,1.09,StarLadder Major Berlin 2019,4443,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf
tarik,United States,NRG,8,249,10,1.06,1.08,StarLadder Major Berlin 2019,4443,Tarik 'tarik' Celik,8523,https://www.hltv.org/player/8523/tarik
AMANEK,France,G2,9,235,4,1.03,1.07,StarLadder Major Berlin 2019,4443,FranÃ§ois 'AMANEK' Delaunay,9616,https://www.hltv.org/player/9616/amanek
Boombl4,Russia,Natus Vincere,10,281,-9,0.95,1.07,StarLadder Major Berlin 2019,4443,Kirill 'Boombl4' Mikhailov,11840,https://www.hltv.org/player/11840/boombl4
rain,Norway,FaZe,6,162,-5,0.95,1.07,StarLadder Major Berlin 2019,4443,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain
gade,Denmark,North,6,148,12,1.12,1.07,StarLadder Major Berlin 2019,4443,Nicklas 'gade' Gade,8875,https://www.hltv.org/player/8875/gade
stanislaw,Canada,NRG,8,249,3,1.02,1.06,StarLadder Major Berlin 2019,4443,Peter 'stanislaw' Jarguz,8507,https://www.hltv.org/player/8507/stanislaw
ALEX,United Kingdom,Vitality,9,222,8,1.05,1.05,StarLadder Major Berlin 2019,4443,Alex 'ALEX' McMeekin,8184,https://www.hltv.org/player/8184/alex
valde,Denmark,North,6,148,2,1.02,1.05,StarLadder Major Berlin 2019,4443,Valdemar 'valde' BjÃ¸rn VangsÃ¥,9031,https://www.hltv.org/player/9031/valde
woxic,Turkey,MOUZ,7,214,4,1.03,1.05,StarLadder Major Berlin 2019,4443,Ã–zgÃ¼r 'woxic' Eker,8574,https://www.hltv.org/player/8574/woxic
Qikert,Kazakhstan,AVANGAR,13,351,-10,0.96,1.05,StarLadder Major Berlin 2019,4443,Alexey 'Qikert' Golubev,13239,https://www.hltv.org/player/13239/qikert
aizy,Denmark,North,6,148,-11,0.89,1.04,StarLadder Major Berlin 2019,4443,Philip 'aizy' Aistrup,8095,https://www.hltv.org/player/8095/aizy
EspiranTo,Lithuania,CR4ZY,9,259,-12,0.94,1.02,StarLadder Major Berlin 2019,4443,Rokas 'EspiranTo' Milasauskas,12030,https://www.hltv.org/player/12030/espiranto
huNter-,Bosnia and Herzegovina,CR4ZY,9,259,-6,0.97,1.02,StarLadder Major Berlin 2019,4443,Nemanja 'huNter-' KovaÄ,3972,https://www.hltv.org/player/3972/hunter
nexa,Serbia,CR4ZY,9,259,-10,0.95,1.02,StarLadder Major Berlin 2019,4443,Nemanja 'nexa' IsakoviÄ‡,9618,https://www.hltv.org/player/9618/nexa
chrisJ,Netherlands,MOUZ,7,214,-1,0.99,1.01,StarLadder Major Berlin 2019,4443,Chris 'chrisJ' de Jong,2730,https://www.hltv.org/player/2730/chrisj
Gratisfaction,New Zealand,Renegades,14,390,-2,0.99,1.0,StarLadder Major Berlin 2019,4443,Sean 'Gratisfaction' Kaiwai,9686,https://www.hltv.org/player/9686/gratisfaction
RpK,France,Vitality,9,222,-14,0.91,1.0,StarLadder Major Berlin 2019,4443,CÃ©dric 'RpK' Guipouy,7169,https://www.hltv.org/player/7169/rpk
NiKo,Bosnia and Herzegovina,FaZe,6,162,-10,0.92,1.0,StarLadder Major Berlin 2019,4443,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko
SANJI,Uzbekistan,AVANGAR,13,351,5,1.02,1.0,StarLadder Major Berlin 2019,4443,Sanjar 'SANJI' Kuliev,11716,https://www.hltv.org/player/11716/sanji
Aerial,Finland,ENCE,6,143,-6,0.94,0.99,StarLadder Major Berlin 2019,4443,Jani 'Aerial' Jussila,4076,https://www.hltv.org/player/4076/aerial
kennyS,France,G2,9,235,-3,0.98,0.99,StarLadder Major Berlin 2019,4443,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys
ropz,Estonia,MOUZ,7,214,-7,0.95,0.98,StarLadder Major Berlin 2019,4443,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz
AZR,Australia,Renegades,14,390,-6,0.98,0.98,StarLadder Major Berlin 2019,4443,Aaron 'AZR' Ward,8082,https://www.hltv.org/player/8082/azr
shox,France,G2,9,235,-13,0.92,0.98,StarLadder Major Berlin 2019,4443,Richard 'shox' Papillon,1225,https://www.hltv.org/player/1225/shox
xseveN,Finland,ENCE,6,143,-1,0.99,0.97,StarLadder Major Berlin 2019,4443,Sami 'xseveN' Laasanen,7248,https://www.hltv.org/player/7248/xseven
Zeus,Ukraine,Natus Vincere,10,281,-15,0.92,0.97,StarLadder Major Berlin 2019,4443,Danylo 'Zeus' Teslenko,484,https://www.hltv.org/player/484/zeus
JACKZ,France,G2,9,235,-16,0.9,0.97,StarLadder Major Berlin 2019,4443,Audric 'JACKZ' Jug,284,https://www.hltv.org/player/284/jackz
JUGi,Denmark,North,6,148,1,1.01,0.97,StarLadder Major Berlin 2019,4443,Jakob 'JUGi' Hansen,8783,https://www.hltv.org/player/8783/jugi
Lucky,France,G2,9,235,-13,0.92,0.97,StarLadder Major Berlin 2019,4443,Philip 'Lucky' Ewald,13843,https://www.hltv.org/player/13843/lucky
Ethan,United States,NRG,8,249,-22,0.87,0.96,StarLadder Major Berlin 2019,4443,Ethan 'Ethan' Arnold,10671,https://www.hltv.org/player/10671/ethan
frozen,Slovakia,MOUZ,7,214,-19,0.87,0.96,StarLadder Major Berlin 2019,4443,David 'frozen' ÄŒerÅˆanskÃ½,9960,https://www.hltv.org/player/9960/frozen
gla1ve,Denmark,Astralis,13,382,-42,0.84,0.95,StarLadder Major Berlin 2019,4443,Lukas 'gla1ve' Rossander,7412,https://www.hltv.org/player/7412/gla1ve
Lekr0,Sweden,Ninjas in Pyjamas,4,98,-4,0.94,0.94,StarLadder Major Berlin 2019,4443,Jonas 'Lekr0' Olofsson,9261,https://www.hltv.org/player/9261/lekr0
Stewie2K,United States,Liquid,9,271,-34,0.82,0.92,StarLadder Major Berlin 2019,4443,Jake 'Stewie2K' Yip,8797,https://www.hltv.org/player/8797/stewie2k
NEO,Poland,FaZe,6,162,-14,0.87,0.92,StarLadder Major Berlin 2019,4443,Filip 'NEO' Kubski,165,https://www.hltv.org/player/9261/lekr0
REZ,Sweden,Ninjas in Pyjamas,4,98,-9,0.87,0.9,StarLadder Major Berlin 2019,4443,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez
nitr0,United States,Liquid,9,271,-38,0.79,0.9,StarLadder Major Berlin 2019,4443,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0
AdreN,Kazakhstan,AVANGAR,13,351,-42,0.81,0.9,StarLadder Major Berlin 2019,4443,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren
GuardiaN,Slovakia,FaZe,6,162,-13,0.87,0.88,StarLadder Major Berlin 2019,4443,Ladislav 'GuardiaN' KovÃ¡cs,2757,https://www.hltv.org/player/2757/guardian
LUCAS1,Brazil,MIBR,5,119,-18,0.8,0.88,StarLadder Major Berlin 2019,4443,Lucas 'LUCAS1' Teles,8566,https://www.hltv.org/player/8566/lucas1
TACO,Brazil,MIBR,5,119,-13,0.85,0.88,StarLadder Major Berlin 2019,4443,Epitacio 'TACO' de Melo,9217,https://www.hltv.org/player/9217/taco
karrigan,Denmark,MOUZ,7,214,-43,0.74,0.87,StarLadder Major Berlin 2019,4443,Finn 'karrigan' Andersen,429,https://www.hltv.org/player/429/karrigan
FalleN,Brazil,MIBR,5,119,-18,0.79,0.86,StarLadder Major Berlin 2019,4443,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen
NBK-,France,Vitality,9,222,-41,0.74,0.84,StarLadder Major Berlin 2019,4443,Nathan 'NBK-' Schmitt,7168,https://www.hltv.org/player/7168/nbk
fer,Brazil,MIBR,5,119,-23,0.75,0.81,StarLadder Major Berlin 2019,4443,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer
svyat,Russia,DreamEaters,4,98,-22,0.72,0.81,StarLadder Major Berlin 2019,4443,Svyatoslav 'svyat' Dovbakh,12016,https://www.hltv.org/player/12016/svyat
LETN1,Serbia,CR4ZY,9,259,-55,0.68,0.78,StarLadder Major Berlin 2019,4443,Nestor 'LETN1' TaniÄ‡,4216,https://www.hltv.org/player/4216/letn1
Krad,Russia,DreamEaters,4,98,-23,0.67,0.75,StarLadder Major Berlin 2019,4443,Vladislav 'Krad' Kravchenko,12027,https://www.hltv.org/player/12027/krad
speed4k,Russia,DreamEaters,4,98,-26,0.63,0.74,StarLadder Major Berlin 2019,4443,Anton 'speed4k' Titov,13155,https://www.hltv.org/player/13155/speed4k
GeT_RiGhT,Sweden,Ninjas in Pyjamas,4,98,-23,0.69,0.74,StarLadder Major Berlin 2019,4443,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right
kinqie,Russia,DreamEaters,4,98,-24,0.66,0.73,StarLadder Major Berlin 2019,4443,Semyon 'kinqie' Lisitsyn,3459,https://www.hltv.org/player/3459/kinqie
Forester,Russia,DreamEaters,4,98,-22,0.72,0.73,StarLadder Major Berlin 2019,4443,Igor 'Forester' Bezotecheskiy,13982,https://www.hltv.org/player/13982/forester
Golden,Sweden,Ninjas in Pyjamas,4,98,-24,0.69,0.73,StarLadder Major Berlin 2019,4443,Maikil 'Golden' Selim,11110,https://www.hltv.org/player/11110/golden
zews,Brazil,MIBR,5,119,-46,0.5,0.59,StarLadder Major Berlin 2019,4443,Wilton 'zews' Prado,6608,https://www.hltv.org/player/6608/zews
f0rest,Sweden,Ninjas in Pyjamas,4,98,-39,0.49,0.54,StarLadder Major Berlin 2019,4443,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest
device,Denmark,Astralis,11,265,74,1.52,1.32,IEM Katowice 2019,3883,Nicolai 'device' Reedtz,7592,https://www.hltv.org/player/7592/device
s1mple,Ukraine,Natus Vincere,11,305,76,1.44,1.29,IEM Katowice 2019,3883,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple
Xyp9x,Denmark,Astralis,11,265,73,1.57,1.29,IEM Katowice 2019,3883,Andreas 'Xyp9x' HÃ¸jsleth,4954,https://www.hltv.org/player/4954/xyp9x
Magisk,Denmark,Astralis,11,265,61,1.42,1.28,IEM Katowice 2019,3883,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk
coldzera,Brazil,MIBR,9,227,45,1.31,1.26,IEM Katowice 2019,3883,Marcelo 'coldzera' David,9216,https://www.hltv.org/player/9216/coldzera
dupreeh,Denmark,Astralis,11,265,43,1.27,1.24,IEM Katowice 2019,3883,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh
stanislaw,Canada,Complexity,7,204,26,1.19,1.2,IEM Katowice 2019,3883,Peter 'stanislaw' Jarguz,8507,https://www.hltv.org/player/8507/stanislaw
fer,Brazil,MIBR,9,227,30,1.21,1.2,IEM Katowice 2019,3883,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer
flamie,Russia,Natus Vincere,11,305,36,1.19,1.2,IEM Katowice 2019,3883,Egor 'flamie' Vasilyev,7594,https://www.hltv.org/player/7594/flamie
Brehze,United States,NRG,4,135,14,1.15,1.19,IEM Katowice 2019,3883,Vincent 'Brehze' Cayonte,9136,https://www.hltv.org/player/9136/brehze
flusha,Sweden,Cloud9,7,172,11,1.09,1.19,IEM Katowice 2019,3883,Robin 'flusha' RÃ¶nnquist,3055,https://www.hltv.org/player/3055/flusha
autimatic,United States,Cloud9,7,172,27,1.26,1.19,IEM Katowice 2019,3883,Timothy 'autimatic' Ta,8735,https://www.hltv.org/player/8735/autimatic
nex,Germany,BIG,5,133,17,1.2,1.17,IEM Katowice 2019,3883,Nemanja 'nexa' IsakoviÄ‡,9618,https://www.hltv.org/player/9618/nexa
NiKo,Bosnia and Herzegovina,FaZe,10,267,23,1.13,1.15,IEM Katowice 2019,3883,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko
REZ,Sweden,Ninjas in Pyjamas,10,250,24,1.15,1.14,IEM Katowice 2019,3883,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez
apEX,France,Vitality,9,250,16,1.09,1.14,IEM Katowice 2019,3883,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex
ZywOo,France,Vitality,9,250,16,1.09,1.14,IEM Katowice 2019,3883,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo
Jame,Russia,AVANGAR,7,186,21,1.2,1.13,IEM Katowice 2019,3883,Dzhami 'Jame' Ali,13776,https://www.hltv.org/player/13776/jame
electroNic,Russia,Natus Vincere,11,305,21,1.11,1.13,IEM Katowice 2019,3883,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic
Twistzz,Canada,Liquid,6,174,18,1.17,1.13,IEM Katowice 2019,3883,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz
jks,Australia,Renegades,10,264,26,1.16,1.11,IEM Katowice 2019,3883,Justin 'jks' Savage,4679,https://www.hltv.org/player/4679/jks
woxic,Turkey,HellRaisers,5,121,1,1.01,1.09,IEM Katowice 2019,3883,Ã–zgÃ¼r 'woxic' Eker,8574,https://www.hltv.org/player/8574/woxic
nitr0,United States,Liquid,6,174,10,1.1,1.08,IEM Katowice 2019,3883,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0
EliGE,United States,Liquid,6,174,0,1.0,1.07,IEM Katowice 2019,3883,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige
xseveN,Finland,ENCE,16,435,0,1.0,1.06,IEM Katowice 2019,3883,Sami 'xseveN' Laasanen,7248,https://www.hltv.org/player/7248/xseven
Ethan,United States,NRG,4,135,-1,0.99,1.06,IEM Katowice 2019,3883,Ethan 'Ethan' Arnold,10671,https://www.hltv.org/player/10671/ethan
Lekr0,Sweden,Ninjas in Pyjamas,10,250,3,1.02,1.06,IEM Katowice 2019,3883,Jonas 'Lekr0' Olofsson,9261,https://www.hltv.org/player/9261/lekr0
Edward,Ukraine,Natus Vincere,11,305,20,1.11,1.06,IEM Katowice 2019,3883,Ioann 'Edward' Sukhariev,483,https://www.hltv.org/player/483/edward
gla1ve,Denmark,Astralis,11,265,9,1.06,1.05,IEM Katowice 2019,3883,Lukas 'gla1ve' Rossander,7412,https://www.hltv.org/player/7412/gla1ve
jkaem,Norway,Renegades,10,264,-2,0.99,1.05,IEM Katowice 2019,3883,Joakim 'jkaem' Myrbostad,8248,https://www.hltv.org/player/8248/jkaem
rain,Norway,FaZe,10,267,-8,0.96,1.05,IEM Katowice 2019,3883,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain
f0rest,Sweden,Ninjas in Pyjamas,10,250,13,1.08,1.05,IEM Katowice 2019,3883,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest
kioShiMa,France,Cloud9,7,172,5,1.05,1.04,IEM Katowice 2019,3883,Fabien 'kioShiMa' Fiey,4959,https://www.hltv.org/player/4959/kioshima
Stewie2K,United States,Liquid,6,174,-6,0.95,1.04,IEM Katowice 2019,3883,Jake 'Stewie2K' Yip,8797,https://www.hltv.org/player/8797/stewie2k
GuardiaN,Slovakia,FaZe,10,267,19,1.12,1.03,IEM Katowice 2019,3883,Ladislav 'GuardiaN' KovÃ¡cs,2757,https://www.hltv.org/player/2757/guardian
Qikert,Kazakhstan,AVANGAR,7,186,-11,0.92,1.03,IEM Katowice 2019,3883,Alexey 'Qikert' Golubev,13239,https://www.hltv.org/player/13239/qikert
AdreN,Kazakhstan,FaZe,10,267,12,1.08,1.02,IEM Katowice 2019,3883,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren
allu,Finland,ENCE,16,435,9,1.03,1.01,IEM Katowice 2019,3883,Aleksi 'allu' Jalli,695,https://www.hltv.org/player/695/allu
tabseN,Germany,BIG,5,133,-10,0.9,1.01,IEM Katowice 2019,3883,Johannes 'tabseN' Wodarz,5794,https://www.hltv.org/player/5794/tabsen
Aerial,Finland,ENCE,16,435,-16,0.95,1.01,IEM Katowice 2019,3883,Jani 'Aerial' Jussila,4076,https://www.hltv.org/player/4076/aerial
sergej,Finland,ENCE,16,435,-24,0.92,1.01,IEM Katowice 2019,3883,Jere 'sergej' Salo,11916,https://www.hltv.org/player/11916/sergej
ShahZaM,United States,Complexity,7,204,-5,0.96,1.01,IEM Katowice 2019,3883,Shahzeb 'ShahZaM' Khan,7810,https://www.hltv.org/player/7810/shahzam
FalleN,Brazil,MIBR,9,227,0,1.0,1.01,IEM Katowice 2019,3883,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen
NAF,Canada,Liquid,6,174,-4,0.96,1.0,IEM Katowice 2019,3883,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf
ISSAA,Jordan,HellRaisers,5,121,-4,0.95,1.0,IEM Katowice 2019,3883,Issa 'ISSAA' Murad,10449,https://www.hltv.org/player/10449/issaa
XANTARES,Turkey,BIG,5,133,-10,0.9,1.0,IEM Katowice 2019,3883,Ismailcan 'XANTARES' DÃ¶rtkardeÅŸ,7938,https://www.hltv.org/player/7938/xantares
RUSH,United States,Cloud9,7,172,-7,0.94,0.98,IEM Katowice 2019,3883,William 'RUSH' Wierzba,7805,https://www.hltv.org/player/7805/rush
Aleksib,Finland,ENCE,16,435,-20,0.93,0.98,IEM Katowice 2019,3883,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib
kennyS,France,G2,5,142,-8,0.92,0.97,IEM Katowice 2019,3883,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys
felps,Brazil,MIBR,9,227,-18,0.88,0.96,IEM Katowice 2019,3883,JoÃ£o 'felps' Vasconcellos,9219,https://www.hltv.org/player/9219/felps
FugLy,United States,NRG,4,135,-15,0.84,0.96,IEM Katowice 2019,3883,Jacob 'FugLy' Medina,8522,https://www.hltv.org/player/8522/fugly
tiziaN,Germany,BIG,5,133,-6,0.93,0.96,IEM Katowice 2019,3883,Tizian 'tiziaN' Feldbusch,5796,https://www.hltv.org/player/5796/tizian
TACO,Brazil,MIBR,9,227,-10,0.93,0.95,IEM Katowice 2019,3883,Epitacio 'TACO' de Melo,9217,https://www.hltv.org/player/9217/taco
buster,Kazakhstan,AVANGAR,7,186,-3,0.98,0.95,IEM Katowice 2019,3883,Timur 'buster' Tulepov,11942,https://www.hltv.org/player/11942/buster
Lucky,France,G2,5,142,-3,0.97,0.95,IEM Katowice 2019,3883,Philip 'Lucky' Ewald,13843,https://www.hltv.org/player/13843/lucky
Rickeh,Australia,Complexity,7,204,-19,0.86,0.94,IEM Katowice 2019,3883,Ricardo 'Rickeh' Mulholland,8745,https://www.hltv.org/player/8745/rickeh
Gratisfaction,New Zealand,Renegades,10,264,-13,0.93,0.94,IEM Katowice 2019,3883,Sean 'Gratisfaction' Kaiwai,9686,https://www.hltv.org/player/9686/gratisfaction
Zeus,Ukraine,Natus Vincere,11,305,-21,0.89,0.94,IEM Katowice 2019,3883,Danylo 'Zeus' Teslenko,484,https://www.hltv.org/player/484/zeus
n0thing,United States,Complexity,7,204,-10,0.92,0.94,IEM Katowice 2019,3883,Jordan 'n0thing' Gilbert,203,https://www.hltv.org/player/203/n0thing
JACKZ,France,G2,5,142,-15,0.86,0.93,IEM Katowice 2019,3883,Audric 'JACKZ' Jug,284,https://www.hltv.org/player/284/jackz
dephh,United Kingdom,Complexity,7,204,-11,0.92,0.92,IEM Katowice 2019,3883,Rory 'dephh' Jackson,7873,https://www.hltv.org/player/203/n0thing
RpK,France,Vitality,9,250,-19,0.88,0.92,IEM Katowice 2019,3883,CÃ©dric 'RpK' Guipouy,7169,https://www.hltv.org/player/7169/rpk
CeRq,Bulgaria,NRG,4,135,-10,0.89,0.91,IEM Katowice 2019,3883,Tsvetelin 'CeRq' Dimitrov,11219,https://www.hltv.org/player/11219/cerq
olofmeister,Sweden,FaZe,10,267,-14,0.91,0.91,IEM Katowice 2019,3883,Olof 'olofmeister' Kajbjer,885,https://www.hltv.org/player/885/olofmeister
gob b,Germany,BIG,5,133,-15,0.83,0.91,IEM Katowice 2019,3883,Fatih 'gob b' Dayik,136,https://www.hltv.org/player/136/gob-b
GeT_RiGhT,Sweden,Ninjas in Pyjamas,10,250,-28,0.84,0.91,IEM Katowice 2019,3883,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right
AZR,Australia,Renegades,10,264,-28,0.85,0.91,IEM Katowice 2019,3883,Aaron 'AZR' Ward,8082,https://www.hltv.org/player/8082/azr
bodyy,France,G2,5,142,-23,0.78,0.9,IEM Katowice 2019,3883,Alexandre 'bodyy' Pianaro,8374,https://www.hltv.org/player/8374/bodyy
NBK-,France,Vitality,9,250,-43,0.76,0.88,IEM Katowice 2019,3883,Nathan 'NBK-' Schmitt,7168,https://www.hltv.org/player/7168/nbk
dennis,Sweden,Ninjas in Pyjamas,10,250,-32,0.82,0.88,IEM Katowice 2019,3883,Dennis 'dennis' Edman,1146,https://www.hltv.org/player/1146/dennis
Liazz,Australia,Renegades,10,264,-43,0.75,0.87,IEM Katowice 2019,3883,Jay 'Liazz' Tregillgas,10588,https://www.hltv.org/player/10588/liazz
ALEX,United Kingdom,Vitality,9,250,-32,0.82,0.86,IEM Katowice 2019,3883,Alex 'ALEX' McMeekin,8184,https://www.hltv.org/player/8184/alex
Zellsis,United States,Cloud9,7,172,-25,0.78,0.86,IEM Katowice 2019,3883,Jordan 'Zellsis' Montemurro,13188,https://www.hltv.org/player/13188/zellsis
shox,France,G2,5,142,-31,0.73,0.85,IEM Katowice 2019,3883,Richard 'shox' Papillon,1225,https://www.hltv.org/player/1225/shox
KrizzeN,Kazakhstan,AVANGAR,7,186,-27,0.79,0.85,IEM Katowice 2019,3883,Aidyn 'KrizzeN' Turlybekov,12161,https://www.hltv.org/player/12161/krizzen
daps,Canada,NRG,4,135,-22,0.78,0.85,IEM Katowice 2019,3883,Damian 'daps' Steele,8521,https://www.hltv.org/player/8521/daps
fitch,Kazakhstan,AVANGAR,7,186,-37,0.73,0.81,IEM Katowice 2019,3883,Bektiyar 'fitch' Bahytov,10052,https://www.hltv.org/player/10052/fitch
HObbit,Kazakhstan,HellRaisers,5,121,-26,0.72,0.8,IEM Katowice 2019,3883,Abay 'HObbit' Khassenov,8528,https://www.hltv.org/player/8528/hobbit
DeadFox,Hungary,HellRaisers,5,121,-38,0.57,0.71,IEM Katowice 2019,3883,Bence 'DeadFox' BÃ¶rÃ¶cz,8716,https://www.hltv.org/player/8716/deadfox
ANGE1,Ukraine,HellRaisers,5,121,-45,0.55,0.63,IEM Katowice 2019,3883,Kirill 'ANGE1' Karasiow,339,https://www.hltv.org/player/339/ange1
electroNic,Russia,Natus Vincere,10,239,63,1.44,1.36,FACEIT Major 2018,3564,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic
s1mple,Ukraine,Natus Vincere,10,239,60,1.45,1.34,FACEIT Major 2018,3564,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple
device,Denmark,Astralis,10,252,58,1.42,1.26,FACEIT Major 2018,3564,Nicolai 'device' Reedtz,7592,https://www.hltv.org/player/7592/device
Magisk,Denmark,Astralis,10,252,27,1.18,1.25,FACEIT Major 2018,3564,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk
olofmeister,Sweden,FaZe,8,216,28,1.2,1.25,FACEIT Major 2018,3564,Olof 'olofmeister' Kajbjer,885,https://www.hltv.org/player/885/olofmeister
dupreeh,Denmark,Astralis,10,252,41,1.28,1.24,FACEIT Major 2018,3564,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh
smooya,United Kingdom,BIG,6,133,28,1.32,1.24,FACEIT Major 2018,3564,Owen 'smooya' Butterfield,11271,https://www.hltv.org/player/11271/smooya
NAF,Canada,Liquid,8,206,28,1.21,1.24,FACEIT Major 2018,3564,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf
NiKo,Bosnia and Herzegovina,FaZe,8,216,32,1.23,1.19,FACEIT Major 2018,3564,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko
Twistzz,Canada,Liquid,8,206,40,1.35,1.19,FACEIT Major 2018,3564,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz
flamie,Russia,Natus Vincere,10,239,41,1.3,1.18,FACEIT Major 2018,3564,Egor 'flamie' Vasilyev,7594,https://www.hltv.org/player/7594/flamie
coldzera,Brazil,MIBR,11,269,40,1.25,1.18,FACEIT Major 2018,3564,Marcelo 'coldzera' David,9216,https://www.hltv.org/player/9216/coldzera
EliGE,United States,Liquid,8,206,20,1.14,1.17,FACEIT Major 2018,3564,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige
FalleN,Brazil,MIBR,11,269,37,1.24,1.17,FACEIT Major 2018,3564,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen
woxic,Turkey,HellRaisers,10,283,42,1.24,1.16,FACEIT Major 2018,3564,Ã–zgÃ¼r 'woxic' Eker,8574,https://www.hltv.org/player/8574/woxic
Xyp9x,Denmark,Astralis,10,252,29,1.2,1.16,FACEIT Major 2018,3564,Andreas 'Xyp9x' HÃ¸jsleth,4954,https://www.hltv.org/player/4954/xyp9x
gla1ve,Denmark,Astralis,10,252,26,1.18,1.15,FACEIT Major 2018,3564,Lukas 'gla1ve' Rossander,7412,https://www.hltv.org/player/7412/gla1ve
stanislaw,Canada,Complexity,5,119,10,1.13,1.15,FACEIT Major 2018,3564,Peter 'stanislaw' Jarguz,8507,https://www.hltv.org/player/8507/stanislaw
shox,France,G2,6,195,21,1.16,1.15,FACEIT Major 2018,3564,Richard 'shox' Papillon,1225,https://www.hltv.org/player/1225/shox
ISSAA,Jordan,HellRaisers,10,283,32,1.16,1.14,FACEIT Major 2018,3564,Issa 'ISSAA' Murad,10449,https://www.hltv.org/player/10449/issaa
KRIMZ,Sweden,fnatic,7,177,7,1.05,1.14,FACEIT Major 2018,3564,Freddy 'KRIMZ' Johansson,7528,https://www.hltv.org/player/7528/krimz
suNny,Finland,MOUZ,3,74,2,1.04,1.13,FACEIT Major 2018,3564,Miikka 'suNny' Kemppi,5479,https://www.hltv.org/player/5479/sunny
autimatic,United States,Cloud9,4,131,7,1.08,1.12,FACEIT Major 2018,3564,Timothy 'autimatic' Ta,8735,https://www.hltv.org/player/8735/autimatic
tabseN,Germany,BIG,6,133,3,1.03,1.09,FACEIT Major 2018,3564,Johannes 'tabseN' Wodarz,5794,https://www.hltv.org/player/5794/tabsen
GeT_RiGhT,Sweden,Ninjas in Pyjamas,7,190,10,1.08,1.09,FACEIT Major 2018,3564,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right
kennyS,France,G2,6,195,11,1.08,1.09,FACEIT Major 2018,3564,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys
f0rest,Sweden,Ninjas in Pyjamas,7,190,13,1.1,1.09,FACEIT Major 2018,3564,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest
fer,Brazil,MIBR,11,269,-10,0.94,1.07,FACEIT Major 2018,3564,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer
