name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link
DemQQ,Ukraine,Monte,8,205,0,1.0,1.04,BLAST.tv Paris Major 2023,6973,Sergiy 'DemQQ' Demchenko,19733,https://www.hltv.org/player/19733/demqq
siuhy,Poland,GamerLegion,12,306,0,1.0,1.04,BLAST.tv Paris Major 2023,6973,Kamil 'siuhy' Szkaradek,16820,https://www.hltv.org/player/16820/siuhy
electroNic,Russia,Natus Vincere,8,212,-12,0.92,1.03,BLAST.tv Paris Major 2023,6973,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic
volt,United Kingdom,Into the Breach,10,265,11,1.07,1.03,BLAST.tv Paris Major 2023,6973,Sebastian 'volt' MaloÈ™,20358,https://www.hltv.org/player/20358/volt
rallen,Poland,Into the Breach,10,265,3,1.02,1.03,BLAST.tv Paris Major 2023,6973,Karol 'rallen' Rodowicz,5388,https://www.hltv.org/player/5388/rallen
Aleksib,Finland,Ninjas in Pyjamas,7,196,3,1.02,1.03,BLAST.tv Paris Major 2023,6973,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib
REZ,Sweden,Ninjas in Pyjamas,7,196,-5,0.96,1.03,BLAST.tv Paris Major 2023,6973,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez
isak,Sweden,GamerLegion,12,306,-7,0.96,1.03,BLAST.tv Paris Major 2023,6973,Isak 'isak' FahlÃ©n,17937,https://www.hltv.org/player/17937/isak
nitr0,United States,Liquid,9,245,-5,0.97,1.03,BLAST.tv Paris Major 2023,6973,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0
kRaSnaL,Poland,Monte,8,205,-11,0.92,1.01,BLAST.tv Paris Major 2023,6973,Szymon 'kRaSnaL' Mrozek,20282,https://www.hltv.org/player/20282/krasnal
Twistzz,Canada,FaZe,13,357,-22,0.91,1.0,BLAST.tv Paris Major 2023,6973,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz
kyxsan,North Macedonia,Apeks,11,303,-12,0.94,1.0,BLAST.tv Paris Major 2023,6973,Damjan 'kyxsan' Stoilkovski,19677,https://www.hltv.org/player/19677/kyxsan
b1t,Ukraine,Natus Vincere,8,212,-10,0.93,1.0,BLAST.tv Paris Major 2023,6973,Valeriy 'b1t' Vakhovskiy,18987,https://www.hltv.org/player/18987/b1t
sjuush,Denmark,Heroic,11,292,-14,0.93,0.99,BLAST.tv Paris Major 2023,6973,Rasmus 'sjuush' Beck,14148,https://www.hltv.org/player/14148/sjuush
TeSeS,Denmark,Heroic,11,292,-7,0.96,0.99,BLAST.tv Paris Major 2023,6973,RenÃ© 'TeSeS' Madsen,12018,https://www.hltv.org/player/12018/teses
rain,Norway,FaZe,13,357,-36,0.86,0.99,BLAST.tv Paris Major 2023,6973,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain
Goofy,Poland,9INE,4,104,-7,0.91,0.97,BLAST.tv Paris Major 2023,6973,Krzysztof 'Goofy' GÃ³rski,15428,https://www.hltv.org/player/15428/goofy
KSCERATO,Brazil,FURIA,4,94,-7,0.88,0.97,BLAST.tv Paris Major 2023,6973,Kaike 'KSCERATO' Cerato,15631,https://www.hltv.org/player/15631/kscerato
rigoN,Switzerland,Bad News Eagles,6,161,-19,0.85,0.96,BLAST.tv Paris Major 2023,6973,Rigon 'rigoN' Gashi,12708,https://www.hltv.org/player/12708/rigon
roeJ,Denmark,fnatic,9,253,-28,0.85,0.94,BLAST.tv Paris Major 2023,6973,Fredrik 'roeJ' JÃ¸rgensen,14419,https://www.hltv.org/player/14419/roej
sinnopsyy,Kosovo,Bad News Eagles,6,161,-7,0.94,0.94,BLAST.tv Paris Major 2023,6973,Dionis 'sinnopsyy' Budeci,18120,https://www.hltv.org/player/18120/sinnopsyy
STYKO,Slovakia,Apeks,11,303,-27,0.88,0.94,BLAST.tv Paris Major 2023,6973,Martin 'STYKO' Styk,6904,https://www.hltv.org/player/6904/styko
KRIMZ,Sweden,fnatic,9,253,-10,0.94,0.94,BLAST.tv Paris Major 2023,6973,Freddy 'KRIMZ' Johansson,7528,https://www.hltv.org/player/7528/krimz
jL,Lithuania,Apeks,11,303,-35,0.84,0.94,BLAST.tv Paris Major 2023,6973,Justinas 'jL' Lekavicius,19206,https://www.hltv.org/player/19206/jl
EliGE,United States,Liquid,9,245,-34,0.8,0.93,BLAST.tv Paris Major 2023,6973,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige
FASHR,Netherlands,fnatic,9,253,-34,0.81,0.92,BLAST.tv Paris Major 2023,6973,Dion 'FASHR' Derksen,11954,https://www.hltv.org/player/11954/fashr
dycha,Poland,ENCE,5,126,-13,0.86,0.92,BLAST.tv Paris Major 2023,6973,PaweÅ‚ 'dycha' Dycha,16080,https://www.hltv.org/player/16080/dycha
SENER1,Kosovo,Bad News Eagles,6,161,-21,0.81,0.91,BLAST.tv Paris Major 2023,6973,Sener 'SENER1' Mahmuti,15778,https://www.hltv.org/player/15778/sener1
Thomas,United Kingdom,Into the Breach,10,265,-39,0.8,0.91,BLAST.tv Paris Major 2023,6973,Thomas 'Thomas' Utting,13018,https://www.hltv.org/player/13018/thomas
k0nfig,Denmark,Ninjas in Pyjamas,7,196,-32,0.78,0.91,BLAST.tv Paris Major 2023,6973,Kristian 'k0nfig' Wienecke,9078,https://www.hltv.org/player/9078/k0nfig
SunPayus,Spain,ENCE,5,126,-12,0.86,0.91,BLAST.tv Paris Major 2023,6973,Alvaro 'SunPayus' Garcia,19164,https://www.hltv.org/player/19164/sunpayus
hades,Poland,9INE,4,104,-5,0.93,0.88,BLAST.tv Paris Major 2023,6973,Olek 'hades' Miskiewicz,16848,https://www.hltv.org/player/16848/hades
arT,Brazil,FURIA,4,94,-16,0.78,0.88,BLAST.tv Paris Major 2023,6973,Andrei 'arT' Piovezan,12521,https://www.hltv.org/player/12521/art
Keoz,Belgium,GamerLegion,12,306,-54,0.76,0.86,BLAST.tv Paris Major 2023,6973,Nicolas 'Keoz' Dgus,15117,https://www.hltv.org/player/15117/keoz
Maden,Montenegro,ENCE,5,126,-21,0.78,0.85,BLAST.tv Paris Major 2023,6973,Pavle 'Maden' BoÅ¡koviÄ‡,11777,https://www.hltv.org/player/11777/maden
karrigan,Denmark,FaZe,13,357,-67,0.74,0.82,BLAST.tv Paris Major 2023,6973,Finn 'karrigan' Andersen,429,https://www.hltv.org/player/429/karrigan
