name_x,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name_y,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
Magisk,Denmark,Vitality,10,277,21,1.12,1.14,BLAST.tv Paris Major 2023,6973,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk,Magisk,133.0,107.0,1.24,0.7,90.0,26.0,18.0,14.0,1.29,1.02,77.8%,11.4%,100.0,55.0,27.0,8.0,0.0,0.0,115.0,0.0,0.0,15.0,3.0,0.0,https://www.hltv.org/stats/players/individual/9032/Magisk?event=6973
jks,Australia,G2,7,196,18,1.15,1.14,BLAST.tv Paris Major 2023,6973,Justin 'jks' Savage,4679,https://www.hltv.org/player/4679/jks,jks,204.0,203.0,1.0,0.62,146.0,1.0,21.0,23.0,0.91,0.87,61.9%,7.7%,185.0,103.0,30.0,11.0,2.0,0.0,170.0,0.0,4.0,29.0,1.0,1.0,https://www.hltv.org/stats/players/individual/4679/jks?event=6973
gxx-,Kosovo,Bad News Eagles,6,161,12,1.12,1.13,BLAST.tv Paris Major 2023,6973,Genc 'gxx-' Kolgeci,19725,https://www.hltv.org/player/19725/gxx,gxx-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/19725/gxx-?event=6973
mezii,United Kingdom,fnatic,9,253,24,1.15,1.13,BLAST.tv Paris Major 2023,6973,William 'mezii' Merriman,18462,https://www.hltv.org/player/18462/mezii,mezii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/18462/mezii?event=6973
juanflatroo,Kosovo,Bad News Eagles,6,161,9,1.08,1.12,BLAST.tv Paris Major 2023,6973,Flatron 'juanflatroo' Halimi,17147,https://www.hltv.org/player/17147/juanflatroo,juanflatroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/17147/juanflatroo?event=6973
oSee,United States,Liquid,9,245,38,1.27,1.11,BLAST.tv Paris Major 2023,6973,Josh 'oSee' Ohm,13249,https://www.hltv.org/player/13249/osee,oSee,183.0,167.0,1.1,0.67,129.0,16.0,25.0,21.0,1.19,1.0,76.0%,14.6%,145.0,87.0,32.0,8.0,2.0,0.0,55.0,104.0,0.0,20.0,4.0,0.0,https://www.hltv.org/stats/players/individual/13249/oSee?event=6973
dupreeh,Denmark,Vitality,10,277,11,1.07,1.11,BLAST.tv Paris Major 2023,6972,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh,dupreeh,200.0,233.0,0.86,0.61,138.0,-33.0,31.0,44.0,0.7,0.91,80.6%,15.2%,192.0,95.0,26.0,15.0,2.0,0.0,153.0,1.0,15.0,31.0,0.0,1.0,https://www.hltv.org/stats/players/individual/7398/dupreeh?event=6972
CYPHER,United Kingdom,Into the Breach,10,265,-8,0.96,1.11,BLAST.tv Paris Major 2023,6973,Cai 'CYPHER' Watson,18571,https://www.hltv.org/player/18571/cypher,CYPHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/18571/CYPHER?event=6973
m0NESY,Russia,G2,7,196,6,1.05,1.11,BLAST.tv Paris Major 2023,6973,Ilya 'm0NESY' Osipov,19230,https://www.hltv.org/player/19230/m0nesy,m0NESY,230.0,221.0,1.04,0.69,159.0,9.0,44.0,38.0,1.16,1.14,81.8%,21.4%,172.0,108.0,35.0,13.0,2.0,1.0,81.0,98.0,5.0,45.0,1.0,0.0,https://www.hltv.org/stats/players/individual/19230/m0NESY?event=6973
acoR,Denmark,GamerLegion,12,306,38,1.22,1.11,BLAST.tv Paris Major 2023,6973,Frederik 'acoR' Gyldstrand,10330,https://www.hltv.org/player/10330/acor,acoR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/10330/acoR?event=6973
jkaem,Norway,Apeks,11,303,3,1.01,1.1,BLAST.tv Paris Major 2023,6973,Joakim 'jkaem' Myrbostad,8248,https://www.hltv.org/player/8248/jkaem,jkaem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/8248/jkaem?event=6973
CRUC1AL,Netherlands,Into the Breach,10,265,30,1.2,1.09,BLAST.tv Paris Major 2023,6973,Joey 'CRUC1AL' Steusel,7996,https://www.hltv.org/player/7996/cruc1al,CRUC1AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/7996/CRUC1AL?event=6973
sdy,Ukraine,Monte,8,205,21,1.17,1.08,BLAST.tv Paris Major 2023,6973,Viktor 'sdy' Orudzhev,12731,https://www.hltv.org/player/12731/sdy,sdy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/12731/sdy?event=6973
Brollan,Sweden,Ninjas in Pyjamas,7,196,0,1.0,1.08,BLAST.tv Paris Major 2023,6973,Ludvig 'Brollan' Brolin,13666,https://www.hltv.org/player/13666/brollan,Brollan,195.0,202.0,0.97,0.64,136.0,-7.0,44.0,48.0,0.92,1.13,75.0%,21.2%,169.0,93.0,30.0,10.0,3.0,0.0,155.0,0.0,7.0,31.0,2.0,1.0,https://www.hltv.org/stats/players/individual/13666/Brollan?event=6973
Perfecto,Russia,Natus Vincere,8,212,13,1.1,1.07,BLAST.tv Paris Major 2023,6973,Ilya 'Perfecto' Zalutskiy,16947,https://www.hltv.org/player/16947/perfecto,Perfecto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/16947/Perfecto?event=6973
s1mple,Ukraine,Natus Vincere,8,212,2,1.01,1.07,BLAST.tv Paris Major 2023,6973,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple,s1mple,250.0,194.0,1.29,0.76,164.0,56.0,34.0,18.0,1.89,1.09,58.8%,12.3%,163.0,99.0,49.0,12.0,3.0,1.0,115.0,85.0,1.0,45.0,3.0,1.0,https://www.hltv.org/stats/players/individual/7998/s1mple?event=6973
huNter-,Bosnia and Herzegovina,G2,7,196,12,1.09,1.07,BLAST.tv Paris Major 2023,6973,Nemanja 'huNter-' KovaÄ,3972,https://www.hltv.org/player/3972/hunter,huNter-,219.0,219.0,1.0,0.66,151.0,0.0,31.0,22.0,1.41,1.02,71.0%,13.1%,180.0,96.0,44.0,9.0,2.0,0.0,170.0,0.0,10.0,37.0,2.0,1.0,https://www.hltv.org/stats/players/individual/3972/huNter-?event=6973
nawwk,Sweden,Apeks,11,303,28,1.16,1.07,BLAST.tv Paris Major 2023,6973,Tim 'nawwk' Jonasson,13670,https://www.hltv.org/player/13670/nawwk,nawwk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/13670/nawwk?event=6973
Woro2k,Ukraine,Monte,8,205,7,1.05,1.06,BLAST.tv Paris Major 2023,6973,Volodymyr 'Woro2k' Veletniuk,16885,https://www.hltv.org/player/16885/woro2k,Woro2k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/16885/Woro2k?event=6973
jabbi,Denmark,Heroic,11,292,-5,0.97,1.04,BLAST.tv Paris Major 2023,6973,Jakob 'jabbi' Nygaard,17956,https://www.hltv.org/player/17956/jabbi,jabbi,119.0,109.0,1.09,0.65,80.0,10.0,22.0,22.0,1.0,1.07,81.8%,16.4%,103.0,51.0,21.0,6.0,2.0,0.0,92.0,2.0,8.0,16.0,0.0,1.0,https://www.hltv.org/stats/players/individual/17956/jabbi?event=6973
apEX,France,Vitality,10,277,3,1.02,1.04,BLAST.tv Paris Major 2023,6973,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex,apEX,111.0,109.0,1.02,0.58,80.0,2.0,14.0,18.0,0.78,0.88,100.0%,11.4%,110.0,54.0,21.0,5.0,0.0,0.0,86.0,0.0,4.0,17.0,4.0,0.0,https://www.hltv.org/stats/players/individual/7322/apEX?event=6973
nicoodoz,Denmark,fnatic,9,253,9,1.05,1.04,BLAST.tv Paris Major 2023,6973,Nico 'nicoodoz' Tamjidi,13602,https://www.hltv.org/player/13602/nicoodoz,nicoodoz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/13602/nicoodoz?event=6973
DemQQ,Ukraine,Monte,8,205,0,1.0,1.04,BLAST.tv Paris Major 2023,6973,Sergiy 'DemQQ' Demchenko,19733,https://www.hltv.org/player/19733/demqq,DemQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/19733/DemQQ?event=6973
siuhy,Poland,GamerLegion,12,306,0,1.0,1.04,BLAST.tv Paris Major 2023,6973,Kamil 'siuhy' Szkaradek,16820,https://www.hltv.org/player/16820/siuhy,siuhy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/16820/siuhy?event=6973
electroNic,Russia,Natus Vincere,8,212,-12,0.92,1.03,BLAST.tv Paris Major 2023,6973,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic,electroNic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/8918/electroNic?event=6973
volt,United Kingdom,Into the Breach,10,265,11,1.07,1.03,BLAST.tv Paris Major 2023,6973,Sebastian 'volt' MaloÈ™,20358,https://www.hltv.org/player/20358/volt,volt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/20358/volt?event=6973
rallen,Poland,Into the Breach,10,265,3,1.02,1.03,BLAST.tv Paris Major 2023,6973,Karol 'rallen' Rodowicz,5388,https://www.hltv.org/player/5388/rallen,rallen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/5388/rallen?event=6973
Aleksib,Finland,Ninjas in Pyjamas,7,196,3,1.02,1.03,BLAST.tv Paris Major 2023,6973,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib,Aleksib,193.0,210.0,0.92,0.59,135.0,-17.0,24.0,36.0,0.67,0.85,66.7%,9.9%,192.0,93.0,26.0,16.0,0.0,0.0,136.0,0.0,19.0,35.0,3.0,1.0,https://www.hltv.org/stats/players/individual/9816/Aleksib?event=6973
REZ,Sweden,Ninjas in Pyjamas,7,196,-5,0.96,1.03,BLAST.tv Paris Major 2023,6973,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez,REZ,180.0,188.0,0.96,0.59,131.0,-8.0,34.0,25.0,1.36,1.09,70.6%,15.4%,174.0,91.0,32.0,7.0,1.0,0.0,143.0,0.0,4.0,32.0,1.0,2.0,https://www.hltv.org/stats/players/individual/9278/REZ?event=6973
isak,Sweden,GamerLegion,12,306,-7,0.96,1.03,BLAST.tv Paris Major 2023,6973,Isak 'isak' FahlÃ©n,17937,https://www.hltv.org/player/17937/isak,isak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/17937/isak?event=6973
nitr0,United States,Liquid,9,245,-5,0.97,1.03,BLAST.tv Paris Major 2023,6973,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0,nitr0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/7687/nitr0?event=6973
kRaSnaL,Poland,Monte,8,205,-11,0.92,1.01,BLAST.tv Paris Major 2023,6973,Szymon 'kRaSnaL' Mrozek,20282,https://www.hltv.org/player/20282/krasnal,kRaSnaL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/20282/kRaSnaL?event=6973
Twistzz,Canada,FaZe,13,357,-22,0.91,1.0,BLAST.tv Paris Major 2023,6973,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz,Twistzz,191.0,135.0,1.41,0.81,123.0,56.0,30.0,14.0,2.14,1.2,73.3%,16.4%,113.0,72.0,36.0,13.0,2.0,0.0,156.0,2.0,5.0,25.0,3.0,1.0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=6973
kyxsan,North Macedonia,Apeks,11,303,-12,0.94,1.0,BLAST.tv Paris Major 2023,6973,Damjan 'kyxsan' Stoilkovski,19677,https://www.hltv.org/player/19677/kyxsan,kyxsan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/19677/kyxsan?event=6973
b1t,Ukraine,Natus Vincere,8,212,-10,0.93,1.0,BLAST.tv Paris Major 2023,6973,Valeriy 'b1t' Vakhovskiy,18987,https://www.hltv.org/player/18987/b1t,b1t,213.0,211.0,1.01,0.65,149.0,2.0,29.0,28.0,1.04,0.97,58.6%,10.5%,178.0,94.0,47.0,7.0,1.0,0.0,152.0,3.0,9.0,49.0,0.0,1.0,https://www.hltv.org/stats/players/individual/18987/b1t?event=6973
sjuush,Denmark,Heroic,11,292,-14,0.93,0.99,BLAST.tv Paris Major 2023,6973,Rasmus 'sjuush' Beck,14148,https://www.hltv.org/player/14148/sjuush,sjuush,115.0,113.0,1.02,0.63,79.0,2.0,15.0,12.0,1.25,0.97,93.3%,12.7%,104.0,54.0,17.0,5.0,3.0,0.0,90.0,0.0,8.0,15.0,2.0,0.0,https://www.hltv.org/stats/players/individual/14148/sjuush?event=6973
TeSeS,Denmark,Heroic,11,292,-7,0.96,0.99,BLAST.tv Paris Major 2023,6973,RenÃ© 'TeSeS' Madsen,12018,https://www.hltv.org/player/12018/teses,TeSeS,127.0,120.0,1.06,0.69,90.0,7.0,17.0,21.0,0.81,0.94,88.2%,13.6%,93.0,60.0,24.0,5.0,1.0,0.0,93.0,0.0,18.0,16.0,0.0,0.0,https://www.hltv.org/stats/players/individual/12018/TeSeS?event=6973
rain,Norway,FaZe,13,357,-36,0.86,0.99,BLAST.tv Paris Major 2023,6973,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain,rain,140.0,151.0,0.93,0.59,97.0,-11.0,33.0,35.0,0.94,1.12,81.8%,20.1%,139.0,65.0,22.0,9.0,1.0,0.0,104.0,1.0,4.0,27.0,5.0,0.0,https://www.hltv.org/stats/players/individual/8183/rain?event=6973
Goofy,Poland,9INE,4,104,-7,0.91,0.97,BLAST.tv Paris Major 2023,6973,Krzysztof 'Goofy' GÃ³rski,15428,https://www.hltv.org/player/15428/goofy,Goofy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/15428/Goofy?event=6973
KSCERATO,Brazil,FURIA,4,94,-7,0.88,0.97,BLAST.tv Paris Major 2023,6973,Kaike 'KSCERATO' Cerato,15631,https://www.hltv.org/player/15631/kscerato,KSCERATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/15631/KSCERATO?event=6973
rigoN,Switzerland,Bad News Eagles,6,161,-19,0.85,0.96,BLAST.tv Paris Major 2023,6973,Rigon 'rigoN' Gashi,12708,https://www.hltv.org/player/12708/rigon,rigoN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/12708/rigoN?event=6973
roeJ,Denmark,fnatic,9,253,-28,0.85,0.94,BLAST.tv Paris Major 2023,6973,Fredrik 'roeJ' JÃ¸rgensen,14419,https://www.hltv.org/player/14419/roej,roeJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/14419/roeJ?event=6973
sinnopsyy,Kosovo,Bad News Eagles,6,161,-7,0.94,0.94,BLAST.tv Paris Major 2023,6973,Dionis 'sinnopsyy' Budeci,18120,https://www.hltv.org/player/18120/sinnopsyy,sinnopsyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/18120/sinnopsyy?event=6973
STYKO,Slovakia,Apeks,11,303,-27,0.88,0.94,BLAST.tv Paris Major 2023,6973,Martin 'STYKO' Styk,6904,https://www.hltv.org/player/6904/styko,STYKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/6904/STYKO?event=6973
KRIMZ,Sweden,fnatic,9,253,-10,0.94,0.94,BLAST.tv Paris Major 2023,6973,Freddy 'KRIMZ' Johansson,7528,https://www.hltv.org/player/7528/krimz,KRIMZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hltv.org/stats/players/individual/7528/KRIMZ?event=6973
jL,Lithuania,Apeks,11,303,-35,0.84,0.94,BLAST.tv Paris Major 2023,6973,Justinas 'jL' Lekavicius,19206,https://www.hltv.org/player/19206/jl,jL,209.0,213.0,0.98,0.64,144.0,-4.0,38.0,28.0,1.36,1.1,76.3%,17.9%,183.0,94.0,38.0,9.0,3.0,0.0,161.0,3.0,12.0,30.0,3.0,0.0,https://www.hltv.org/stats/players/individual/19206/jL?event=6973
EliGE,United States,Liquid,9,245,-34,0.8,0.93,BLAST.tv Paris Major 2023,6973,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige,EliGE,188.0,176.0,1.07,0.71,129.0,12.0,36.0,38.0,0.95,1.11,52.8%,16.7%,135.0,85.0,35.0,5.0,2.0,2.0,147.0,4.0,1.0,35.0,2.0,0.0,https://www.hltv.org/stats/players/individual/8738/EliGE?event=6973
