Name,Full name,Player ID,Full link
Kylar,Kacper 'Kylar' Walukiewicz,19114,https://www.hltv.org/player/19114/kylar
HooXi,Rasmus 'HooXi' Nielsen,10096,https://www.hltv.org/player/10096/hooxi
yuurih,Yuri 'yuurih' Santos,12553,https://www.hltv.org/player/12553/yuurih
Snappi,Marco 'Snappi' Pfeiffer,922,https://www.hltv.org/player/922/snappi
npl,Andrii 'npl' Kukharskyi,21708,https://www.hltv.org/player/21708/npl
mynio,Wiktor 'mynio' Kruk,4829,https://www.hltv.org/player/4829/mynio
saffee,Rafael 'saffee' Costa,18835,https://www.hltv.org/player/18835/saffee
KEi,Kamil 'KEi' Pietkun,17504,https://www.hltv.org/player/17504/kei
drop,AndrÃ© 'drop' Abreu,19750,https://www.hltv.org/player/19750/drop
sh1ro,Dmitry 'sh1ro' Sokolov,16920,https://www.hltv.org/player/16920/sh1ro
Jame,Dzhami 'Jame' Ali,13776,https://www.hltv.org/player/13776/jame
FL1T,Evgenii 'FL1T' Lebedev,12732,https://www.hltv.org/player/12732/fl1t
fame,Petr 'fame' Bolyshev,20101,https://www.hltv.org/player/20101/fame
Zyphon,Rasmus 'Zyphon' Nordfoss,20090,https://www.hltv.org/player/20090/zyphon
w0nderful,Ihor 'w0nderful' Zhdanov,20127,https://www.hltv.org/player/20127/w0nderful
frozen,David 'frozen' ÄŒerÅˆanskÃ½,9960,https://www.hltv.org/player/9960/frozen
Ax1Le,Sergey 'Ax1Le' Rykhtorov,16555,https://www.hltv.org/player/16555/ax1le
Patsi,Robert 'Patsi' Isyanov,19673,https://www.hltv.org/player/19673/patsi
magixx,Boris 'magixx' Vorobiev,18317,https://www.hltv.org/player/18317/magixx
HObbit,Abay 'HObbit' Khassenov,8528,https://www.hltv.org/player/8528/hobbit
nafany,Vladislav 'nafany' Gorshkov,16921,https://www.hltv.org/player/16921/nafany
chopper,Leonid 'chopper' Vishnyakov,7716,https://www.hltv.org/player/7716/chopper
n0rb3r7,David 'n0rb3r7' Danielyan,16612,https://www.hltv.org/player/16612/n0rb3r7
hampus,Hampus 'hampus' Poser,9766,https://www.hltv.org/player/9766/hampus
